dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year,Cluster_Type
AGAGO,Agago,"251,200",251200,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,Acholi,Agago District,46,66,112,66256,39123,105379,58935,20260,79195,31103,23984,55087,34995,32884,67879,44,64,108,65144,38505,103649,57225,19666,76891,34509,32382,66891,30715,23654,54369,301908,44,203,247,64246,38048,102294,56111,19373,75484,34253,31917,66170,30185,23291,53476,1379,2835,4214,156340,116317,272657,35041,32950,67991,3493,272582.3933,78.0367573,2.9251,0,1107.584376,AGAGO,1.836518185,2.123710421,0.038,1,True,0.939037194,0.032,True,False,2020,High-High
KOTIDO,Kotido,"206,500",206500,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,Karamoja,Kotido District,95,100,195,10108,5805,15913,17619,7828,25447,7716,5713,13429,27245,24519,51764,66,66,132,9606,5549,15155,15482,7024,22506,26164,23499,49663,7553,5519,13072,100528,59,59,118,9286,5368,14654,15128,6926,22054,24998,22341,47339,7200,5438,12638,423,1125,1548,35538,43965,79503,27340,24619,51959,3610,203356.3642,56.33140284,3.0352,0,494.3440074,KOTIDO,0.196711395,1.841011687,0.05,1,False,0.703562022,0.054,False,False,2020,Not Significant
BUGIRI,Bugiri,"480,400",480400,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,Busoga,Bugiri District,37,29,66,7664,4412,12076,15464,7241,22705,5610,4482,10092,9415,8559,17974,37,29,66,7659,4397,12056,15385,7195,22580,9393,8534,17927,5591,4460,10051,62680,37,29,66,7633,4389,12022,15296,7165,22461,9321,8454,17775,5546,4445,9991,589,1667,2256,28775,24723,53498,9452,8588,18040,1033,438704.419,424.6896603,0.5316,0,142.8752419,BUGIRI,0.033507966,0.163287872,0.482,3,False,-0.052214574,0.483,False,False,2020,Not Significant
MANAFWA,Manafwa,"175,200",175200,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,Bugisu,Manafwa District,8,8,16,9580,6076,15656,14563,8241,22804,5130,4330,9460,8036,6766,14802,8,7,15,8682,5634,14316,12928,6982,19910,7350,6217,13567,4651,3929,8580,56388,8,7,15,9040,5835,14875,13617,7729,21346,7532,6405,13937,4940,4172,9112,454,670,1124,29281,25421,54702,8044,6774,14818,237,170960.9327,721.3541462,0,0,329.8297401,MANAFWA,0.108597104,1.205216412,0.076,3,False,-0.585816233,0.074,False,False,2020,Not Significant
BUNDIBUGYO,Bundibugyo,"263,800",263800,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,Tooro,Bundibugyo District,16,27,43,12840,7801,20641,24092,12405,36497,8566,6676,15242,10019,8935,18954,16,25,41,12599,7696,20295,23560,12274,35834,9830,8760,18590,8385,6536,14921,89681,16,24,40,12633,7702,20335,23855,12372,36227,9927,8795,18722,8436,6573,15009,593,1234,1827,45514,35844,81358,10035,8962,18997,850,247815.3567,291.5474784,0.6852,0,361.8863705,BUNDIBUGYO,0.073355081,1.580161383,0.017,3,True,-0.773145603,0.015,False,True,2020,Low-Low
KALAKI,Kalaki,"138,700",138700,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KALAKI,KALAKI,Teso,Kalaki District,6,5,11,5715,2650,8365,5622,2475,8097,3237,2697,5934,2632,2457,5089,6,5,11,5705,2650,8355,5622,2485,8107,2632,2457,5089,3237,2697,5934,27496,5,5,10,5558,2573,8131,5405,2392,7797,2524,2350,4874,3129,2628,5757,318,518,836,14580,10284,24864,2638,2462,5100,658,132298.1315,201.0609902,0,0,207.8336231,KALAKI,0.090468455,0.452005105,0.351,3,False,-0.174285665,0.345,False,False,2020,Not Significant
BUIKWE,Buikwe,"474,100",474100,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,44,18,62,17115,14064,31179,31039,20409,51448,11158,8763,19921,15491,13924,29415,36,17,53,15945,11256,27201,27397,18939,46336,14442,12928,27370,10618,8344,18962,119922,35,17,52,15735,11142,26877,146522,379420,525942,14258,12766,27024,10496,8224,18720,983,2238,3221,74847,57178,132025,17440,13942,31382,1270,488794.4368,384.8775093,0.2827,0,245.3423995,BUIKWE,0.023348852,0.199476506,0.482,3,False,-0.079244863,0.493,False,False,2021,Not Significant
LUWERO,Luwero,"523,600",523600,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,160,115,275,22026,18714,40740,27776,17224,45000,12982,12529,25511,13311,12179,25490,78,92,170,20265,17405,37670,25287,15885,41172,11503,11223,22726,12097,11621,23718,125456,70,111,181,20161,17259,37420,168090,392576,560666,11417,11298,22715,12002,11622,23624,943,2760,3703,76255,60761,137016,18460,12294,30754,2216,563363.6111,254.2254563,0.8271,0,222.6909895,LUWERO,0.195321995,1.157847319,0.07,3,False,-0.51325978,0.077,False,False,2021,Not Significant
MUKONO,Mukono,"701,400",701400,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,54,40,94,17074,13330,30404,29460,17924,47384,10224,8865,19089,11246,10704,21950,37,21,58,16369,12766,29135,27539,16874,44413,10495,9993,20488,9809,8445,18254,112348,35,19,54,15943,12449,28392,134376,334732,469108,10305,9807,20112,9596,8282,17878,593,2443,3036,68058,50863,118921,14838,10744,25582,1831,813642.8462,444.3707516,0.2835,0,138.0802406,MUKONO,0.285244669,1.139879254,0.073,3,False,-0.42528106,0.08,False,False,2021,Not Significant
KABAROLE,Kabarole,"337,800",337800,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,15,1,16,3603,3102,6705,8163,6148,14311,2020,1790,3810,2409,2254,4663,1,1,2,3059,2682,5741,6902,5153,12055,1997,1745,3742,1780,1590,3370,24910,1,1,2,2970,2580,5550,25328,74353,99681,1860,1663,3523,1634,1472,3106,44,211,255,16210,13295,29505,1575,2255,3830,1184,219719.8361,185.5741859,0.6833,0,113.3716484,KABAROLE,0.299727,1.06975541,0.088,3,False,-0.397483621,0.109,False,False,2021,Not Significant
