dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year,Cluster_Type
LAMWO,Lamwo,"143,800",143800,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,Acholi,Lamwo District,50,39,89,52848,42246,95094,32350,11119,43469,21740,20173,41913,21861,21814,43675,46,34,80,44066,33670,77736,27312,9488,36800,19069,18986,38055,18293,16894,35187,187858,16894,36,16930,16894,51674,68568,31796,10902,42698,36,21466,21502,21470,19963,41433,1006,2190,3196,128849,95391,224240,18783,21853,40636,5588,203544.0261,36.42520152,3.491,32.808,922.9354631,LAMWO,3.06460659,2.873683397,0.021,1,True,1.461759701,0.009,True,False,2023,High-High
OMORO,Omoro,"196,400",196400,GULU,OMORO,OMORO,OMORO,OMORO,OMORO,Acholi,Omoro District,21,28,49,25247,12919,38166,25774,6379,32153,11501,8754,20255,15868,13988,29856,21,27,48,24983,12726,37709,25224,6306,31530,15741,13849,29590,11451,8698,20149,119026,8698,27,8725,8698,12657,21355,24942,6254,31196,27,13746,13773,11329,8588,19917,1256,2502,3758,78411,42068,120479,13987,14016,28003,1483,199759.9975,134.6999309,2.7152,32.492,595.8450215,OMORO,0.707968258,1.875582092,0.047,1,True,0.765382468,0.04,True,False,2023,High-High
AMURU,Amuru,"216,800",216800,AMURU,AMURU,AMURU,AMURU,AMURU,AMURU,Acholi,Amuru District,50,27,77,25177,13507,38684,23821,8724,32545,10643,8214,18857,14494,14057,28551,50,27,77,24979,13442,38421,23307,8657,31964,14378,13926,28304,10554,8164,18718,117484,8164,27,8191,8164,13253,21417,23001,8556,31557,27,13619,13646,10381,8012,18393,814,1408,2222,74185,44529,118714,11240,14084,25324,3619,240684.4494,66.50578873,3.1042,32.0837,488.1245976,AMURU,1.033150022,5.012414147,0.001,1,True,1.939664074,0.001,True,False,2023,High-High
KITGUM,Kitgum,"223,600",223600,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,Acholi,Kitgum District,36,17,53,37140,22754,59894,35639,12699,48338,15711,12728,28439,20430,19422,39852,33,15,48,37073,22730,59803,35455,12470,47925,20358,19361,39719,15688,12706,28394,175889,12706,13,12719,12706,22457,35163,34975,12325,47300,13,19178,19191,15506,12562,28068,1362,2638,4000,108956,67620,176576,18789,19439,38228,4391,235831.1013,53.7078345,3.3397,33.1689,745.8261401,KITGUM,1.966071143,2.937946999,0.014,1,True,1.335995413,0.011,True,False,2023,High-High
ZOMBO,Zombo,"283,100",283100,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,West Nile,Zombo District,13,12,25,15455,9598,25053,18260,8233,26493,7412,6262,13674,11811,11164,22975,13,12,25,15360,9534,24894,18061,8143,26204,11717,11068,22785,7376,6236,13612,87520,6236,12,6248,6236,9469,15705,18008,8121,26129,12,11010,11022,7343,6210,13553,445,852,1297,52951,35269,88220,4674,11176,15850,939,304475.3317,324.2548794,2.4882,30.8499,287.4452899,ZOMBO,-0.282646067,-1.748621528,0.049,2,True,1.312909986,0.042,True,False,2023,High-High
YUMBE,Yumbe,"663,600",663600,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,West Nile,Yumbe District,26,22,48,63719,41001,104720,60743,22221,82964,33137,26673,59810,44210,42013,86223,24,20,44,62641,40480,103121,58607,21666,80273,43448,41244,84692,32810,26259,59069,327199,26259,20,26279,26259,40413,66672,58553,21630,80183,20,41204,41224,32789,26235,59024,1657,3624,5281,201835,131930,333765,16688,42035,58723,2323,884073.1863,380.5739071,3.4698,31.2483,370.1039745,YUMBE,0.121487867,2.84264654,0.014,1,True,1.298688572,0.012,True,False,2023,High-High
GULU,Gulu,"325,600",325600,GULU,GULU,GULU,GULU,GULU,GULU,Acholi,Gulu District,50,45,95,21110,11053,32163,18658,7691,26349,9492,6989,16481,11116,10004,21120,49,44,93,20517,10736,31253,18013,7050,25063,10905,9715,20620,9274,6844,16118,93147,6844,46,6890,6844,10477,17321,17640,6950,24590,46,9880,9926,9070,6706,15776,873,1636,2509,60426,35782,96208,9723,10049,19772,1721,132401.5267,76.93290335,2.955,32.4467,703.5190781,GULU,1.987804281,2.907945668,0.019,1,True,1.504984049,0.01,True,False,2023,High-High
ADJUMANI,Adjumani,"235,900",235900,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,West Nile,Adjumani District,20,16,36,54336,42042,96378,48505,22245,70750,29568,24849,54417,29881,29245,59126,70,15,85,53366,41269,94635,46975,21469,68444,29251,28523,57774,28749,24483,53232,274170,24483,15,24498,24483,41229,65712,47130,21390,68520,15,28460,28475,28619,24463,53082,1271,3501,4772,162310,118397,280707,11955,29261,41216,2301,139985.445,60.83678617,3.2549,31.7195,1958.560763,ADJUMANI,9.123230226,3.478911019,0.004,1,True,1.825596724,0.003,True,False,2023,High-High
OTUKE,Otuke,"133,500",133500,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,Lango,Otuke District,8,6,14,13187,6655,19842,14776,4158,18934,6429,4757,11186,8206,7383,15589,8,6,14,13060,6590,19650,14695,4129,18824,8178,7360,15538,6390,4728,11118,65144,4728,6,4734,4728,6463,11191,14463,4052,18515,6,7224,7230,6287,4643,10930,692,1548,2240,42606,22959,65565,8179,7389,15568,1549,154212.6637,99.55627096,2.5214,33.3486,422.4296399,OTUKE,0.244140196,1.946066694,0.043,1,True,0.847209081,0.034,True,False,2023,High-High
PADER,Pader,"197,300",197300,PADER,PADER,PADER,PADER,PADER,PADER,Acholi,Pader District,31,32,63,51563,29072,80635,45767,13503,59270,21811,16554,38365,24310,22430,46740,30,31,61,51524,29022,80546,45654,13393,59047,24276,22402,46678,21798,16541,38339,224671,16541,29,16570,16541,28667,45208,45054,13209,58263,29,22043,22072,21557,16327,37884,1026,2257,3283,143482,81591,225073,18454,22462,40916,3326,233072.9945,70.07606571,2.9431,32.8084,963.9512312,PADER,2.637856973,2.910918806,0.011,1,True,1.182306633,0.004,True,False,2023,High-High
MADI OKOLLO,Madi Okollo,"164,200",164200,ARUA,ARUA,ARUA,ARUA,MADI OKOLLO,MADI-OKOLLO,West Nile,Madi-Okollo District,72,51,123,32213,22693,54906,27211,9394,36605,16855,14225,31080,17485,17444,34929,72,51,123,31416,21730,53146,26879,9269,36148,17112,17077,34189,17580,13776,31356,154962,13776,50,13826,13776,21795,35571,26342,9132,35474,50,16813,16863,16377,13828,30205,1171,2292,3463,93836,63807,157643,4042,17495,21537,2048,173844.5417,84.88503013,2.8218,31.2168,891.3826024,MADI-OKOLLO,2.707421139,3.451820462,0.006,1,True,1.363543417,0.001,True,False,2023,High-High
MOYO,Moyo,"109,500",109500,MOYO,MOYO,MOYO,MOYO,MOYO,MOYO,West Nile,Moyo District,13,21,34,18161,14382,32543,14095,6347,20442,9906,8746,18652,9476,9607,19083,13,21,34,17904,14194,32098,13881,6257,20138,9402,9534,18936,9795,8661,18456,89662,8661,21,8682,8661,14063,22724,13698,6200,19898,21,9383,9404,9804,8593,18397,279,781,1060,51651,39103,90754,2970,9628,12598,1072,108127.1063,100.8648379,3.636,31.7651,829.2277771,MOYO,4.696688081,4.375480472,0.002,1,True,2.643523698,0.003,True,False,2023,High-High
OBONGI,Obongi,"49,100",49100,MOYO,MOYO,MOYO,MOYO,OBONGI,OBONGI,West Nile,Obongi District,8,2,10,23706,16850,40556,17861,6020,23881,10448,8810,19258,11868,11734,23602,5,2,7,22377,16187,38564,15554,5552,21106,11246,10987,22233,10094,8614,18708,100618,8614,2,8616,8614,16091,24705,15451,5470,20921,2,10861,10863,130128,8416,138544,395,752,1147,63891,43416,107307,3586,11736,15322,837,126813.1749,151.5091695,3.4335,31.5827,793.4349099,OBONGI,4.172046346,4.984076283,0.001,1,True,2.530725204,0.001,True,False,2023,High-High
BUTEBO,Butebo,"121,200",121200,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,32,19,51,10603,5101,8123,11914,3531,15445,16112,3622,19734,6568,5458,12026,30,17,47,10318,5005,15323,11614,3466,15080,6489,5391,11880,5123,3583,8706,51036,26,28,54,10314,4996,15310,11600,3456,15056,6453,5386,11839,5110,25641,30751,477,1032,1509,45229,17731,29544,6600,5477,12077,236,171433,726.4110169,1.2393,33.83,297.7023094,BUTEBO,0.10632533,2.248499926,0.028,1,True,0.867617928,0.026,True,False,2024,High-High
ALEBTONG,Alebtong,"266,100",266100,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,16,11,27,20209,9620,10961,25206,6647,31853,31614,7169,38783,12045,11156,23201,16,11,26,20201,9620,29821,25206,6649,31855,12042,11056,23098,9302,7169,16471,101271,2,3,5,19860,9447,29307,24771,6519,31290,11870,10942,22812,9170,48221,57391,1541,3294,4835,89090,34603,35880,12061,11167,23228,1534,283509,184.8168188,2.2914,33.2139,357.2055914,ALEBTONG,0.296711077,1.969242237,0.049,1,True,0.757258254,0.045,True,False,2024,High-High
KASSANDA,Kassanda,"312,700",312700,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,39,28,67,7139,5582,18987,11616,7046,18662,12673,3438,16111,4600,4333,8933,38,26,66,7115,5564,12679,11643,7044,18687,4554,4324,8878,3983,3408,7391,47701,30,6,36,6979,5450,12429,11402,6943,18345,6190,4264,10454,3933,21669,25602,492,2031,2523,36067,20427,67713,4639,4361,9000,1819,314008,172.626718,0.5761,31.7195,151.9101424,KASSANDA,-0.546573369,-2.153948124,0.041,2,True,1.007362707,0.039,True,False,2024,High-High
LAMWO,Lamwo,"143,800",143800,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,Acholi,Lamwo District,31,26,57,48061,35377,100414,30575,9730,40305,56119,16437,72556,18752,18533,37285,31,26,57,46426,34038,80464,29409,9282,38691,17947,17722,35669,18384,15816,34200,189081,14,20,34,47339,35005,82344,30186,9565,39751,18578,18175,36753,18983,91001,109984,824,2043,2867,153538,80103,227846,18783,18559,37342,5588,213156,38.14531138,3.491,32.808,887.0545516,LAMWO,4.180316882,3.323562383,0.005,1,True,1.557178503,0.009,True,False,2024,High-High
LUUKA,Luuka,"267,100",267100,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,Busoga,Luuka District,3,2,5,30197,15017,41848,44511,14391,58902,55150,12663,67813,22374,19029,41403,3,2,5,30216,15014,45230,44456,14391,58847,22373,19032,41405,17087,12663,29750,175237,83,42,125,30107,14949,45056,43885,14289,58174,22312,18973,41285,17056,88031,105087,3102,8283,11385,152235,61102,164735,22377,19031,41408,650,298639,459.4446154,0.7251,33.3037,586.785383,LUUKA,1.087902029,1.976728243,0.043,1,True,0.772818878,0.033,True,False,2024,High-High
KALIRO,Kaliro,"288,500",288500,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,Busoga,Kaliro District,77,55,132,19445,10346,20429,33943,14805,48748,49206,8887,58093,21328,18391,39719,77,55,129,19425,10328,29753,33891,14792,48683,21321,18391,39712,12422,8887,21309,139586,110,65,175,19288,10248,29536,33442,14658,48100,21266,18344,39610,12388,73236,85624,3149,7978,11127,123999,52484,94806,21405,18446,39851,779,236199,303.2079589,0.8927,33.5028,590.9677856,KALIRO,1.360225659,2.415549177,0.024,1,True,0.951478096,0.013,True,False,2024,High-High
OMORO,Omoro,"196,400",196400,GULU,OMORO,OMORO,OMORO,OMORO,OMORO,Acholi,Omoro District,19,20,39,24113,12354,52831,25445,6780,32225,36863,8196,45059,13968,12880,26848,18,19,36,23731,12310,36041,25258,6734,31992,13909,12822,26731,11066,8165,19231,114031,9,5,14,23558,12176,35734,24858,6691,31549,13788,12719,26507,10923,56391,67314,1257,2688,3945,100408,40230,140217,13987,12900,26887,1483,207339,139.8105192,2.7152,32.492,549.9737145,OMORO,1.14889443,2.336134254,0.027,1,True,0.918816358,0.015,True,False,2024,High-High
AMURU,Amuru,"216,800",216800,AMURU,AMURU,AMURU,AMURU,AMURU,AMURU,Acholi,Amuru District,26,31,57,21617,11325,58354,21993,8407,30400,29923,6949,36872,11214,10510,21724,25,30,55,21490,11296,32786,21519,8349,29868,11086,10394,21480,8859,6935,15794,99983,31,29,60,21231,11177,32408,21128,8255,29383,10967,10304,21271,8757,45640,54397,937,1718,2655,84773,37222,285589,11240,10541,21781,3619,247574,68.40950539,3.1042,32.0837,403.8509698,AMURU,0.710602687,3.177960595,0.006,1,True,1.178884275,0.004,True,False,2024,High-High
KITGUM,Kitgum,"223,600",223600,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,Acholi,Kitgum District,24,16,40,32672,18967,69983,29819,10760,40579,49344,11171,60515,18765,17686,36451,23,16,38,32567,18920,51487,29604,10657,40261,18547,17559,36106,13894,11121,25015,152907,36,36,72,32229,18700,50929,29383,10491,39874,18439,17437,35876,13836,74572,88408,1290,2571,3861,130624,58600,193333,18789,17702,36491,4391,239655,54.57868367,3.3397,33.1689,638.0296676,KITGUM,2.374419676,3.437091154,0.003,1,True,1.447686285,0.002,True,False,2024,High-High
BUYENDE,Buyende,"414,600",414600,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,Busoga,Buyende District,21,18,39,17497,9113,19719,29478,10377,39855,42667,8054,50721,17732,15785,33517,21,18,38,17497,9113,26610,29454,10377,39831,17730,15775,33505,11097,8051,19148,119132,26,19,45,17300,8954,26254,28920,10251,39171,17592,15599,33191,10986,63120,74106,4982,10330,15312,107395,43347,87390,17753,15803,33556,1379,403486,292.5931835,1.2414,33.1239,295.2568367,BUYENDE,0.074720173,1.801153801,0.058,1,False,0.670685738,0.04,True,False,2024,Not Significant
GULU,Gulu,"325,600",325600,GULU,GULU,GULU,GULU,GULU,GULU,Acholi,Gulu District,42,41,83,19405,10275,45521,18671,7370,26041,26473,6521,32994,9681,8834,18515,34,37,73,17916,9437,27353,17232,6948,24180,9011,8223,17234,8151,6029,14180,83020,9,5,14,19033,10055,29088,18233,7276,25509,9491,8600,18091,8640,41769,50409,830,1792,2622,74272,33041,120518,9723,8875,18598,1721,135373,78.65950029,2.955,32.4467,613.2685247,GULU,2.652845949,3.631349287,0.005,1,True,1.728651242,0.003,True,False,2024,High-High
PALLISA,Pallisa,"353,400",353400,PALLISA,PALLISA,PALLISA,PALLISA,PALLISA,PALLISA,Bukedi,Pallisa District,7,13,20,14566,7618,9378,16152,5863,22015,21788,4963,26751,9074,7657,16731,7,13,20,14536,7613,22149,16142,5843,21985,9074,7645,16719,6468,4929,11397,72270,1,2,3,14475,7574,22049,15932,5796,21728,9043,7633,16676,6438,34475,40913,1517,2932,4449,61587,26114,34248,9081,7670,16751,796,334697,420.4736181,1.2009,33.7071,215.9266441,PALLISA,-0.22768924,-2.401528099,0.024,2,True,0.910616106,0.013,True,False,2024,High-High
LIRA,Lira,"478,500",478500,LIRA,LIRA,LIRA,LIRA,LIRA,LIRA,Lango,Lira District,7,10,17,14902,7018,21551,23098,7770,30868,19041,3920,22961,7406,6671,14077,7,10,17,14848,6957,21805,22816,7714,30530,7373,6648,14021,5659,3886,9545,75918,20,15,35,14819,6943,21762,22835,7696,30531,7367,6637,14004,5672,29252,34924,855,1526,2381,64454,25389,72078,7413,6681,14094,1046,242216,231.5640535,2.2316,32.9438,313.4309872,LIRA,0.137906448,2.01127827,0.041,1,True,0.711347715,0.026,True,False,2024,High-High
NAMUTUMBA,Namutumba,"306,500",306500,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,Busoga,Namutumba District,7,5,12,11389,6448,13501,21382,9408,30790,24072,5162,29234,9720,8765,18485,6,5,11,11229,6358,17587,20921,9223,30144,9551,8607,18158,6445,5098,11543,77443,19,20,39,11224,6354,17578,20728,9209,29937,9544,8615,18159,6444,36136,42580,907,2123,3030,66570,29788,59449,9727,8770,18497,812,311339,383.4224138,0.8493,33.6623,248.7417253,NAMUTUMBA,-0.092445252,-2.287108036,0.027,2,True,0.921869864,0.015,True,False,2024,High-High
OTUKE,Otuke,"133,500",133500,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,Lango,Otuke District,7,7,14,16663,8846,12937,15728,4589,20317,21300,5289,26589,8172,6974,15146,7,7,14,16176,8546,24722,15353,4452,19805,8067,6872,14939,7221,5167,12388,71868,2,2,4,15832,8348,24180,15106,4325,19431,7867,6697,14564,7073,33769,40842,1020,2324,3344,61870,25705,39167,8179,6981,15160,1549,161069,103.9825694,2.5214,33.3486,446.1938672,OTUKE,0.896561972,2.800130877,0.009,1,True,1.131174705,0.007,True,False,2024,High-High
PADER,Pader,"197,300",197300,PADER,PADER,PADER,PADER,PADER,PADER,Acholi,Pader District,37,32,69,41504,24426,86633,37686,12632,50318,50106,12863,62969,18417,16691,35108,36,31,67,40807,23894,64701,36641,12106,48747,18073,16480,34553,16369,12570,28939,177007,25,23,48,40654,23592,64246,37859,11936,49795,17907,16299,34206,16119,78826,94945,1551,1860,3411,147750,66644,216203,18454,16723,35177,3326,240159,72.20655442,2.9431,32.8084,737.0408771,PADER,3.147611745,4.004832696,0.002,1,True,1.524391481,0.001,True,False,2024,High-High
ABIM,Abim,"153,500",153500,ABIM,ABIM,ABIM,ABIM,ABIM,ABIM,Karamoja,Abim District,8,9,17,15577,8665,25223,15624,5949,21573,23117,5093,28210,9222,8323,17545,8,9,17,15494,8621,24115,15451,5895,21346,9196,8291,17487,6442,5081,11523,74488,6,7,13,15569,8656,24225,15571,5935,21506,9186,8298,17484,6438,35439,41877,629,1458,2087,63548,28039,81614,9230,8332,17562,2301,144084,62.61799218,2.7067,33.6595,516.9762083,ABIM,0.968249418,2.038982224,0.036,1,True,0.876233004,0.026,True,False,2024,High-High
KAPELEBYONG,Kapelebyong,"103,800",103800,AMURIA,AMURIA,AMURIA,KAPELEBYONG,KAPELEBYONG,KAPELEBYONG,Teso,Kapelebyong District,9,3,12,16100,7937,22331,16395,4867,21262,14312,4539,18851,4432,4136,8568,9,3,11,16136,7944,24080,16395,5253,21648,4432,4130,8562,6039,4539,10578,64879,30,19,49,16029,8313,24342,16289,4845,21134,4400,4090,8490,5999,24979,30978,540,1365,1905,51248,21482,62533,4441,4139,8580,1203,143536,119.3150457,2.211,33.7518,452.0050719,KAPELEBYONG,0.614886594,1.812641754,0.054,1,False,0.753228697,0.046,True,False,2024,Not Significant
MASAKA,Masaka,"335,700",335700,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,4,3,7,3153,2959,6112,4709,3350,8059,1774,1584,3358,1364,1311,2675,4,3,7,3124,2939,6063,4641,3302,7943,1339,1289,2628,1762,1572,3334,19975,4,3,7,3041,2833,5874,4541,3262,7803,1321,1263,2584,1731,1545,3276,107,303,410,9640,9207,18847,1368,1314,2682,855,111838.9019,130.8057332,0.4464,31.9018,178.6051156,MASAKA,0.36601248,1.366298087,0.032,3,True,-0.6010173,0.042,False,True,2020,Low-Low
BUTEBO,Butebo,"121,200",121200,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,26,30,56,5614,2509,8123,7243,2464,9707,4115,3110,7225,4952,4433,9385,26,30,56,5562,2485,8047,7107,2435,9542,4920,4414,9334,4106,3106,7212,34191,26,28,54,5287,2400,7687,6966,2417,9383,4440,4045,8485,3828,2950,6778,134,276,410,16998,12546,29544,4978,4463,9441,236,144468.885,612.1562926,1.2393,33.83,236.6668781,BUTEBO,0.165029371,0.90982176,0.155,3,False,-0.37040709,0.153,False,False,2020,Not Significant
ALEBTONG,Alebtong,"266,100",266100,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,3,5,8,7110,3851,10961,9974,3515,13489,3936,3217,7153,4529,4269,8798,2,4,6,7103,3842,10945,9932,3491,13423,4548,4271,8819,3955,3232,7187,40380,2,3,5,6967,3819,10786,9867,3455,13322,4503,4243,8746,3932,3214,7146,358,698,1056,21023,14857,35880,4532,4274,8806,1534,259635.4412,169.253873,2.2914,33.2139,155.5257626,ALEBTONG,-0.042135447,-0.086161116,0.375,2,False,0.057032121,0.367,False,False,2020,Not Significant
TORORO,Tororo,"597,500",597500,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,18,11,29,11929,7362,19291,19497,9473,28970,6395,4998,11393,8814,7682,16496,18,10,28,11354,6975,18329,18078,8802,26880,8294,7241,15535,6027,4745,10772,71544,16,23,39,11119,6761,17880,17696,8479,26175,8165,7095,15260,5940,4688,10628,452,851,1303,37839,29526,67365,8832,7693,16525,4504,2162302.077,480.0848305,0.3886,30.3436,33.08695892,TORORO,0.325136737,0.803236232,0.202,3,False,-0.325478572,0.205,False,False,2020,Not Significant
MOROTO,Moroto,"118,500",118500,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,19,23,42,6216,3997,10213,8824,4782,13606,4005,3320,7325,12157,11526,23683,13,20,33,5878,3805,9683,7562,4314,11876,11590,11011,22601,3823,3165,6988,51181,13,19,32,5814,3741,9555,7440,4255,11695,11458,10916,22374,3727,3109,6836,114,623,737,19064,23648,42712,12176,11549,23725,3533,103556.1503,29.31110963,2.7495,34.5971,494.234286,MOROTO,-0.000366087,-0.045361872,0.432,4,False,0.000769178,0.433,False,False,2020,Not Significant
KAGADI,Kagadi,"430,200",430200,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,7,7,14,11466,7628,19094,18912,10501,29413,6188,4697,10885,6654,5787,12441,5,6,11,10358,6922,17280,16506,9284,25790,5830,5117,10947,5588,4291,9879,63907,6,6,12,10741,7150,17891,17220,9548,26768,6006,5265,11271,5740,4426,10166,883,1660,2543,36573,28620,65193,6661,5794,12455,1420,418806.2219,294.9339591,0.95,30.8,152.593244,KAGADI,0.41919173,1.481452545,0.02,3,True,-0.615261056,0.018,False,True,2020,Low-Low
KAMULI,Kamuli,"558,500",558500,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,44,33,77,47740,25528,73268,87075,40753,127828,29868,21268,51136,48360,40111,88471,24,17,41,47026,24921,71947,85083,39417,124500,47597,39469,87066,29249,20762,50011,333565,24,17,41,45761,24257,70018,82330,38405,120735,46313,38479,84792,28336,20166,48502,4216,7887,12103,164727,127693,292420,48404,40144,88548,1515,517995.9032,341.9114872,0.9187,33.1239,643.9529694,KAMULI,0.194893419,0.515295185,0.236,1,False,0.282346109,0.208,False,False,2020,Not Significant
BUDAKA,Budaka,"253,100",253100,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,5,4,9,3677,2005,5682,5864,2219,8083,2938,2103,5041,4113,3859,7972,5,3,8,3633,1946,5579,5783,2157,7940,4075,3779,7854,2873,2063,4936,26317,5,3,8,3412,1831,5243,5542,2016,7558,3875,3617,7492,2730,1959,4689,157,401,558,12484,10190,22674,4118,3863,7981,410,249235.3939,607.8912045,1.1005,34.0196,105.5909419,BUDAKA,0.475600611,1.187674431,0.065,3,False,-0.586519975,0.068,False,False,2020,Not Significant
MARACHA,Maracha,"208,300",208300,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,28,17,45,30315,15863,46178,30562,10089,40651,17158,12379,29537,15626,14209,29835,29,18,47,30007,15673,45680,29659,9557,39216,15444,13939,29383,16999,12273,29272,143598,28,17,45,29525,15255,44780,29130,9455,38585,15039,13555,28594,16669,12017,28686,1326,2759,4085,78063,52557,130620,15654,14226,29880,440,213920.0348,486.1818973,3.2873,30.9403,671.2695243,MARACHA,0.513014633,0.926231432,0.138,1,False,0.663313252,0.123,False,False,2020,Not Significant
MPIGI,Mpigi,"286,600",286600,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,11,10,21,5337,5224,10561,9303,7353,16656,2944,2903,5847,3228,2971,6199,17,10,27,5134,5077,10211,8968,6885,15853,2958,2869,5827,2851,2836,5687,37605,9,9,18,4801,4803,9604,8384,6344,14728,2783,2689,5472,2646,2687,5333,134,641,775,17595,18461,36056,3239,2981,6220,1204,293790.5895,244.0121175,0.2274,32.3249,127.9993347,MPIGI,0.191850654,0.649101436,0.285,3,False,-0.259285692,0.247,False,False,2020,Not Significant
KAYUNGA,Kayunga,"407,700",407700,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,75,64,139,27071,16511,43582,34106,18262,52368,17849,14689,32538,23279,21391,44670,72,60,132,26917,16441,43358,33935,17854,51789,23102,21254,44356,17715,14586,32301,171936,66,50,116,26535,16230,42765,33385,17684,51069,22745,20856,43601,17458,14405,31863,1801,3746,5547,79101,70917,150018,23354,21455,44809,1596,409214.4479,256.40003,0.7014,32.9029,420.1611182,KAYUNGA,-0.000116368,-0.070340452,0.465,4,False,-0.001137041,0.437,False,False,2020,Not Significant
