Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Lango,Apac District,34.0,30.0,64.0,32019.0,16600.0,48619.0,33542.0,14560.0,48102.0,13488.0,10383.0,23871.0,14315.0,12910.0,27225.0,29.0,29.0,58.0,31234.0,16275.0,47509.0,31942.0,14152.0,46094.0,13985.0,12739.0,26724.0,13231.0,10153.0,23384.0,143769.0,28.0,27.0,55.0,30732.0,15950.0,46682.0,31334.0,13913.0,45247.0,13699.0,12491.0,26190.0,12978.0,9950.0,22928.0,1269.0,2532.0,3801.0,79083.0,54483.0,133566.0,14349.0,12940.0,27289.0,1783.0,206508.5175,115.8208175,1.8445,32.4014,2020,696.1892019780735,115.8208174425126
West Nile,Arua City,45.0,29.0,74.0,16452.0,9493.0,25945.0,24457.0,12298.0,36755.0,8810.0,6912.0,15722.0,10268.0,9942.0,20210.0,30.0,19.0,49.0,14644.0,8387.0,23031.0,20731.0,10057.0,30788.0,16855.0,9158.0,26013.0,7918.0,5982.0,13900.0,93781.0,33.0,18.0,51.0,14114.0,8134.0,22248.0,20483.0,10173.0,30656.0,9766.0,9907.0,19673.0,7640.0,5743.0,13383.0,1571.0,2761.0,4332.0,49764.0,38674.0,88438.0,10313.0,9971.0,20284.0,404.0,352416.4159,872.3178611,3.0274,30.9071,2020,266.1084891874357,872.3178611386139
West Nile,Arua District,6.0,3.0,9.0,9532.0,5004.0,14536.0,8429.0,3784.0,12213.0,4701.0,3551.0,8252.0,4025.0,3898.0,7923.0,3.0,1.0,4.0,9509.0,4983.0,14492.0,8148.0,3663.0,11811.0,4004.0,3799.0,7803.0,4697.0,3546.0,8243.0,42353.0,3.0,1.0,4.0,8956.0,4755.0,13711.0,7582.0,3435.0,11017.0,4722.0,1846334.0,1851056.0,4493.0,3406.0,7899.0,319.0,565.0,884.0,22668.0,16240.0,38908.0,4031.0,3901.0,7932.0,800.0,148681.039,185.8512987,3.0018,30.9876,2020,284.8581115982113,185.85129874999998
Bukedi,Budaka District,5.0,4.0,9.0,3677.0,2005.0,5682.0,5864.0,2219.0,8083.0,2938.0,2103.0,5041.0,4113.0,3859.0,7972.0,5.0,3.0,8.0,3633.0,1946.0,5579.0,5783.0,2157.0,7940.0,4075.0,3779.0,7854.0,2873.0,2063.0,4936.0,26317.0,5.0,3.0,8.0,3412.0,1831.0,5243.0,5542.0,2016.0,7558.0,3875.0,3617.0,7492.0,2730.0,1959.0,4689.0,157.0,401.0,558.0,12484.0,10190.0,22674.0,4118.0,3863.0,7981.0,410.0,249235.3939,607.8912045,1.1005,34.0196,2020,105.59094191316622,607.8912046341463
Bugisu,Bududa District,1.0,3.0,4.0,2118.0,1466.0,3584.0,5330.0,3570.0,8900.0,836.0,624.0,1460.0,1089.0,1021.0,2110.0,1.0,3.0,4.0,2047.0,1412.0,3459.0,5205.0,3508.0,8713.0,1067.0,1007.0,2074.0,805.0,594.0,1399.0,15649.0,1.0,3.0,4.0,2057.0,1413.0,3470.0,5196.0,3498.0,8694.0,1072.0,1004.0,2076.0,809.0,591.0,1400.0,130.0,319.0,449.0,8285.0,6684.0,14969.0,1090.0,1024.0,2114.0,318.0,61214.32643,192.4978819,1.003,34.3338,2020,255.6427704533349,192.49788185534592
Busoga,Bugiri District,37.0,29.0,66.0,7664.0,4412.0,12076.0,15464.0,7241.0,22705.0,5610.0,4482.0,10092.0,9415.0,8559.0,17974.0,37.0,29.0,66.0,7659.0,4397.0,12056.0,15385.0,7195.0,22580.0,9393.0,8534.0,17927.0,5591.0,4460.0,10051.0,62680.0,37.0,29.0,66.0,7633.0,4389.0,12022.0,15296.0,7165.0,22461.0,9321.0,8454.0,17775.0,5546.0,4445.0,9991.0,589.0,1667.0,2256.0,28775.0,24723.0,53498.0,9452.0,8588.0,18040.0,1033.0,438704.419,424.6896603,0.5316,0.0,2020,142.8752419291222,424.68966021297194
Bugisu,Bugisu,76.0,59.0,135.0,58316.0,37225.0,95541.0,112298.0,59442.0,171740.0,30538.0,24511.0,55049.0,42805.0,38343.0,81148.0,51.0,46.0,97.0,53972.0,34804.0,88776.0,100305.0,53642.0,153947.0,39428.0,34855.0,74283.0,28629.0,23004.0,51633.0,368736.0,57.0,48.0,105.0,53964.0,34889.0,88853.0,100963.0,54306.0,155269.0,39472.0,34943.0,74415.0,28676.0,23042.0,51718.0,3064.0,6009.0,9073.0,201228.0,159580.0,360808.0,42881.0,38402.0,81283.0,2447.0,1675194.521,684.5911407,1.0783,34.1737,2020,220.1153331016655,684.5911405803024
Busoga,Bugweri District,23.0,13.0,36.0,15016.0,8082.0,23098.0,24551.0,10023.0,34574.0,11010.0,8433.0,19443.0,14619.0,12518.0,27137.0,23.0,13.0,36.0,14750.0,7969.0,22719.0,23947.0,9877.0,33824.0,14506.0,12391.0,26897.0,10670.0,8371.0,19041.0,102517.0,23.0,13.0,36.0,14318.0,7781.0,22099.0,23221.0,9600.0,32821.0,14043.0,12109.0,26152.0,10351.0,8035.0,18386.0,827.0,1244.0,2071.0,50600.0,39069.0,89669.0,14642.0,12531.0,27173.0,302.0,191457.8987,633.966552,0.6116,33.5952,2020,535.454534370694,633.9665519867549
Ankole,Buhweju District,1.0,0.0,1.0,652.0,668.0,1320.0,1052.0,884.0,1936.0,308.0,251.0,559.0,223.0,221.0,444.0,1.0,0.0,1.0,649.0,662.0,1311.0,1044.0,869.0,1913.0,223.0,221.0,444.0,307.0,250.0,557.0,4226.0,1.0,0.0,1.0,645.0,651.0,1296.0,1020.0,856.0,1876.0,222.0,222.0,444.0,304.0,250.0,554.0,7.0,21.0,28.0,2013.0,2024.0,4037.0,224.0,221.0,445.0,751.0,58583.41681,78.0072128,0.3558,30.3897,2020,72.13645482143738,78.00721279627165
North Central,Buikwe District,36.0,17.0,53.0,19721.0,14068.0,33789.0,35432.0,22776.0,58208.0,13176.0,10681.0,23857.0,17396.0,15839.0,33235.0,30.0,14.0,44.0,17854.0,12927.0,30781.0,29228.0,20438.0,49666.0,15833.0,14447.0,30280.0,12341.0,10131.0,22472.0,133243.0,30.0,14.0,44.0,17138.0,12400.0,29538.0,28042.0,20107.0,48149.0,15191.0,13878.0,29069.0,11792.0,9706.0,21498.0,698.0,1878.0,2576.0,68365.0,63381.0,131746.0,17432.0,15856.0,33288.0,1270.0,478765.9383,376.9810538,0.2827,0.0,2020,278.30509512251155,376.98105377952754
