dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,District,TOTAL CASES CONFIRMED(B/S & RDT),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),TOTAL POPULATION,Latitude,Longitude,Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
AGAGO,Agago,"251,200",251200.0,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,Agago District,1231996.0,2.9251,0.0,272582.3933,2.9251,0.0,4519.71965278067,AGAGO,1.9576316632181892,2.3844209015318505,0.035,1,True,1.0683360977292258,0.037,True,False
APAC,Apac,"226,600",226600.0,APAC,APAC,APAC,APAC,APAC,APAC,Apac District,559599.0,1.8445,32.4014,206508.5175,1.8445,32.4014,2709.8107466681126,APAC,0.023461521779733145,0.10234944611053383,0.404,1,False,0.04382962345580043,0.426,False,False
PALLISA,Pallisa,"353,400",353400.0,PALLISA,PALLISA,PALLISA,PALLISA,PALLISA,PALLISA,Pallisa District,455653.0,1.2009,33.7071,309460.347,1.2009,33.7071,1472.4115849323985,PALLISA,-0.08098920763508238,-0.7665928182052439,0.18,2,False,0.2841900144084472,0.202,False,False
LIRA,Lira,"478,500",478500.0,LIRA,LIRA,LIRA,LIRA,LIRA,LIRA,Lira District,361285.0,2.2316,32.9438,224605.4506,2.2316,32.9438,1608.5317566198012,LIRA,-0.11035857113739518,-1.7252615819717025,0.071,2,False,0.5911557305584778,0.063,False,False
KOTIDO,Kotido,"206,500",206500.0,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,Kotido District,468482.0,3.0352,0.0,203356.3642,3.0352,0.0,2303.7488983587955,KOTIDO,0.17477898974186076,1.5421141089275514,0.071,1,False,0.5705876259948883,0.078,False,False
KALUNGU,Kalungu,"194,100",194100.0,KALUNGU,KALUNGU,KALUNGU,KALUNGU,KALUNGU,KALUNGU,Kalungu District,176940.0,0.0953,31.7651,201322.4065,0.0953,31.7651,878.8887589618595,KALUNGU,-0.0037909717624290285,0.00479394590399794,0.459,2,False,0.0001605471195042186,0.476,False,False
NAPAK,Napak,"158,300",158300.0,NAPAK,NAPAK,NAPAK,NAPAK,NAPAK,NAPAK,Napak District,343589.0,2.4265,34.331,180626.5701,2.4265,34.331,1902.2063022609539,NAPAK,0.010797818796331739,1.1789456198759436,0.098,1,False,0.48282100359821806,0.102,False,False
NAMUTUMBA,Namutumba,"306,500",306500.0,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,NAMUTUMBA,Namutumba District,505402.0,0.8493,33.6623,286341.2258,0.8493,33.6623,1765.0340030080292,NAMUTUMBA,-0.029207823382895095,-0.9468166675412738,0.136,2,False,0.38845602374077437,0.152,False,False
BUGIRI,Bugiri,"480,400",480400.0,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,Bugiri District,560812.0,0.5316,0.0,438704.419,0.5316,0.0,1278.336792864628,BUGIRI,-0.016949352606999007,-0.09319654952490504,0.41,2,False,0.03718001031602114,0.423,False,False
OTUKE,Otuke,"133,500",133500.0,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,OTUKE,Otuke District,352081.0,2.5214,33.3486,135345.6394,2.5214,33.3486,2601.3471993690255,OTUKE,0.4549698827248327,2.1612962144036665,0.041,1,True,0.8812192918250121,0.04,True,False
NEBBI,Nebbi,"282,600",282600.0,NEBBI,NEBBI,NEBBI,NEBBI,NEBBI,NEBBI,Nebbi District,672431.0,2.4104,31.2168,273483.9112,2.4104,31.2168,2458.758897550826,NEBBI,0.22773953433066674,0.9208188910508536,0.135,1,False,0.5485707005894994,0.136,False,False
KAMPALA,Kampala,"1,680,600",1680600.0,KAMPALA,KAMPALA,KAMPALA,KAMPALA,KAMPALA,KAMPALA,Kampala District,838014.0,0.3152,32.5816,1675282.464,0.3152,32.5816,500.2225105365874,KAMPALA,0.8587620943409686,1.2498262760153416,0.046,3,True,-0.892349595700506,0.048,False,True
PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER,PADER,Pader District,1061153.0,2.9431,32.8084,213044.9404,2.9431,32.8084,4980.888060554946,PADER,2.8644863416169857,3.522417444299032,0.007,1,True,1.337309217029722,0.007,True,False
ABIM,Abim,"153,500",153500.0,ABIM,ABIM,ABIM,ABIM,ABIM,ABIM,Abim District,401802.0,2.7067,33.6595,128376.1239,2.7067,33.6595,3129.8810697306,ABIM,0.5673073573501818,1.4216092006572012,0.073,1,False,0.6427057156000228,0.087,False,False
BUDUDA,Bududa,"271,100",271100.0,BUDUDA,BUDUDA,BUDUDA,BUDUDA,BUDUDA,BUDUDA,Bududa District,101778.0,1.003,34.3338,61214.32643,1.003,34.3338,1662.650002632725,BUDUDA,0.08327726190532346,1.257221872797771,0.073,3,False,-0.5644979260888793,0.079,False,False
MANAFWA,Manafwa,"175,200",175200.0,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,Manafwa District,243297.0,0.0,0.0,170960.9327,0.0,0.0,1423.1146037728652,MANAFWA,0.17516548934753284,1.1277355617466625,0.097,3,False,-0.5533933467781655,0.114,False,False
SIRONKO,Sironko,"274,300",274300.0,SIRONKO,SIRONKO,SIRONKO,SIRONKO,SIRONKO,SIRONKO,Sironko District,279738.0,1.2302,34.2491,274583.9034,1.2302,34.2491,1018.7705708025126,SIRONKO,0.2253682715679855,0.8406625590935433,0.184,3,False,-0.3773409147514133,0.188,False,False
KATAKWI,Katakwi,"194,600",194600.0,KATAKWI,KATAKWI,KATAKWI,KATAKWI,KATAKWI,KATAKWI,Katakwi District,689284.0,1.9142,33.9583,204260.2064,1.9142,33.9583,3374.5388401800815,KATAKWI,0.2923204244007357,0.7437984004094401,0.193,1,False,0.282725545969026,0.201,False,False
KUMI,Kumi,"284,800",284800.0,KUMI,KUMI,KUMI,KUMI,KUMI,KUMI,Kumi District,773054.0,1.4877,33.9304,266855.2321,1.4877,33.9304,2896.904040128805,KUMI,0.19943483602232,0.6730277180354306,0.205,1,False,0.27950447675905105,0.217,False,False
BULIISA,Buliisa,"149,300",149300.0,BULIISA,BULIISA,BULIISA,BULIISA,BULIISA,BULIISA,Buliisa District,334476.0,1.8992,31.3542,143383.711,1.8992,31.3542,2332.733597612075,BULIISA,-0.027288824899938505,-0.1734327848161304,0.475,4,False,-0.08073684900128224,0.467,False,False
KAMWENGE,Kamwenge,"335,200",335200.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,Kamwenge District,699201.0,0.2903,30.574,308803.2075,0.2903,30.574,2264.228424505597,KAMWENGE,-0.12074190339852992,-1.160603338298995,0.094,4,False,-0.4299330379901836,0.105,False,False
LYANTONDE,Lyantonde,"110,500",110500.0,LYANTONDE,LYANTONDE,LYANTONDE,LYANTONDE,LYANTONDE,LYANTONDE,Lyantonde District,135574.0,0.2241,31.2168,115648.0618,0.2241,31.2168,1172.2980730490722,LYANTONDE,0.2610767456948145,1.0858036909237017,0.105,3,False,-0.5303169076836975,0.129,False,False
SSEMBABULE,Ssembabule,"296,100",296100.0,SSEMBABULE,SSEMBABULE,SSEMBABULE,SSEMBABULE,SSEMBABULE,SEMBABULE,Sembabule District,281001.0,0.0638,31.3542,283386.681,0.0638,31.3542,991.5815344899713,SEMBABULE,0.18592106490366564,0.8840406590343861,0.18,3,False,-0.30273647637970524,0.198,False,False
BUTAMBALA,Butambala,"107,800",107800.0,BUTAMBALA,BUTAMBALA,BUTAMBALA,BUTAMBALA,BUTAMBALA,BUTAMBALA,Butambala District,184380.0,0.1742,32.1065,50232.4276,0.1742,32.1065,3670.5373164166963,BUTAMBALA,-0.2452873429165915,-0.37965403251882646,0.387,4,False,-0.18347662578247648,0.385,False,False
KIRUHURA,Kiruhura,"185,700",185700.0,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,Kiruhura District,192243.0,0.322,30.8039,180616.9259,0.322,30.8039,1064.3686855042415,KIRUHURA,0.24345978919788216,1.1607994539783202,0.091,3,False,-0.4297469019065321,0.106,False,False
BUHWEJU,Buhweju,"144,100",144100.0,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,Buhweju District,17374.0,0.3558,30.3897,58583.41681,0.3558,30.3897,296.568567455668,BUHWEJU,0.9040875514338569,1.8347120247082667,0.007,3,True,-0.8205208749491867,0.008,False,True
KAKUMIRO,Kakumiro,"473,400",473400.0,KIBAALE,KAKUMIRO,KAKUMIRO,KAKUMIRO,KAKUMIRO,KAKUMIRO,Kakumiro District,333729.0,1.0028,31.3084,367946.3179,1.0028,31.3084,907.0045921500441,KAKUMIRO,0.37816875878105616,1.2503460082169553,0.076,3,False,-0.558379529918663,0.084,False,False
KABALE,Kabale,"248,700",248700.0,KABALE,KABALE,KABALE,KABALE,KABALE,KABALE,Kabale District,24804.0,1.3505,30.0203,262176.9302,1.3505,30.0203,94.60786645521567,KABALE,1.555360559900066,1.71869389217099,0.002,3,True,-1.2493918581331116,0.002,False,True
AMUDAT,Amudat,"134,900",134900.0,AMUDAT,AMUDAT,AMUDAT,AMUDAT,AMUDAT,AMUDAT,Amudat District,128547.0,1.7916,34.9066,156566.9591,1.7916,34.9066,821.0352985006016,AMUDAT,0.21019562650415202,0.5945423225580243,0.27,3,False,-0.28797796762999267,0.291,False,False
MAYUGE,Mayuge,"565,100",565100.0,MAYUGE,MAYUGE,MAYUGE,MAYUGE,MAYUGE,MAYUGE,Mayuge District,883283.0,0.3125,33.528,533324.8616,0.3125,33.528,1656.181932621909,MAYUGE,-0.0601380653756622,-1.0980500489235914,0.125,2,False,0.3934637250497918,0.112,False,False
NWOYA,Nwoya,"236,000",236000.0,NWOYA,NWOYA,NWOYA,NWOYA,NWOYA,NWOYA,Nwoya District,492795.0,2.6351,32.0028,180449.3616,2.6351,32.0028,2730.9323548197026,NWOYA,0.19137585080961797,0.8158898949470557,0.17,1,False,0.3181122740145523,0.172,False,False
OYAM,Oyam,"453,700",453700.0,OYAM,OYAM,OYAM,OYAM,OYAM,OYAM,Oyam District,907723.0,2.2776,32.4467,437457.3758,2.2776,32.4467,2074.9975888279446,OYAM,0.04566434846523993,0.7514989177103065,0.189,1,False,0.3157379774527141,0.196,False,False
KOBOKO,Koboko,"258,000",258000.0,KOBOKO,KOBOKO,KOBOKO,KOBOKO,KOBOKO,KOBOKO,Koboko District,555472.0,3.5237,31.0335,243497.9288,3.5237,31.0335,2281.218582586974,KOBOKO,0.15770452866953874,0.7050824213758565,0.172,1,False,0.543074935920809,0.169,False,False
KIBUKU,Kibuku,"250,600",250600.0,KIBUKU,KIBUKU,KIBUKU,KIBUKU,KIBUKU,KIBUKU,Kibuku District,846643.0,1.0453,33.7993,229271.2657,1.0453,33.7993,3692.7566889599984,KIBUKU,0.009421902943815355,0.025506770726076183,0.437,1,False,0.01697373067527014,0.464,False,False
KWANIA,Kwania,"216,600",216600.0,APAC,APAC,APAC,KWANIA,KWANIA,KWANIA,Kwania District,387425.0,1.9033,32.7633,202344.6754,1.9033,32.7633,1914.6785020862476,KWANIA,0.007611741100546828,0.5383313834835468,0.234,1,False,0.2439426272268415,0.252,False,False
NABILATUK,Nabilatuk,"89,700",89700.0,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NABILATUK,NABILATUK,NABILATUK,Nabilatuk District,190032.0,2.091,34.5971,103673.6483,2.091,34.5971,1832.9826635415125,NABILATUK,-0.01218777042718009,-0.918264254858231,0.143,2,False,0.45442022435670154,0.148,False,False
BUGWERI,Bugweri,"191,600",191600.0,IGANGA,IGANGA,IGANGA,BUGWERI,BUGWERI,BUGWERI,Bugweri District,462126.0,0.6116,33.5952,191457.8987,0.6116,33.5952,2413.721257455752,BUGWERI,0.00946779098057605,0.05335249389356519,0.426,1,False,0.027414670178565106,0.447,False,False
MADI OKOLLO,Madi Okollo,"164,200",164200.0,ARUA,ARUA,ARUA,ARUA,MADI OKOLLO,MADI-OKOLLO,Madi-Okollo District,611089.0,2.8218,31.2168,161812.097,2.8218,31.2168,3776.5347049423626,MADI-OKOLLO,2.1219957734104407,4.185786619122068,0.001,1,True,1.5881288956490085,0.001,True,False
KARENGA,Karenga,"68,500",68500.0,KAABONG,KAABONG,KAABONG,KAABONG,KARENGA,KARENGA,Karenga District,140698.0,3.5691,33.6931,76699.97985,3.5691,33.6931,1834.3942237684953,KARENGA,-0.011172435544550404,-0.7282835861586411,0.171,2,False,0.43274963726870913,0.18,False,False
NAMISINDWA,Namisindwa,"231,500",231500.0,MANAFWA,MANAFWA,NAMISINDWA,NAMISINDWA,NAMISINDWA,NAMISINDWA,Namisindwa District,173926.0,0.9054,34.3754,234639.7804,0.9054,34.3754,741.2468580711304,NAMISINDWA,0.40128487099475224,0.8858936096177603,0.168,3,False,-0.5072432860017303,0.157,False,False
BULAMBULI,Bulambuli,"230,600",230600.0,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,Bulambuli District,176743.0,1.4815,34.2866,208835.8364,1.4815,34.2866,846.3250515178343,BULAMBULI,0.28563452134959766,0.8881456304056983,0.172,3,False,-0.398648539889211,0.172,False,False
NGORA,Ngora,"165,800",165800.0,NGORA,NGORA,NGORA,NGORA,NGORA,NGORA,Ngora District,390667.0,1.4908,33.7518,181464.9711,1.4908,33.7518,2152.850754786801,NGORA,0.054572924717767014,0.6101094843749197,0.216,1,False,0.2737854346991065,0.23,False,False
KAPELEBYONG,Kapelebyong,"103,800",103800.0,AMURIA,AMURIA,AMURIA,KAPELEBYONG,KAPELEBYONG,KAPELEBYONG,Kapelebyong District,293267.0,2.211,33.7518,117798.1527,2.211,33.7518,2489.5721475944674,KAPELEBYONG,0.22155679574761833,1.2252227498363255,0.096,1,False,0.5075376515749189,0.1,False,False
MOYO,Moyo,"109,500",109500.0,MOYO,MOYO,MOYO,MOYO,MOYO,MOYO,Moyo District,476840.0,3.636,31.7651,103905.7438,3.636,31.7651,4589.1591991086825,MOYO,6.06395692102231,5.498980340875947,0.001,1,True,3.1989035637375456,0.002,True,False
NTOROKO,Ntoroko,"76,000",76000.0,NTOROKO,NTOROKO,NTOROKO,NTOROKO,NTOROKO,NTOROKO,Ntoroko District,47226.0,1.0125,30.3897,92584.78757,1.0125,30.3897,510.0837971280555,NTOROKO,0.3357323970577169,0.7233138048279988,0.216,3,False,-0.35570942711678866,0.226,False,False
BUNDIBUGYO,Bundibugyo,"263,800",263800.0,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,Bundibugyo District,508508.0,0.6852,0.0,247815.3567,0.6852,0.0,2051.9632308969008,BUNDIBUGYO,-0.10758722333861855,-1.6879745061159581,0.012,4,True,-0.8346102294220424,0.017,False,True
KIRYANDONGO,Kiryandongo,"313,800",313800.0,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,Kiryandongo District,508835.0,2.018,32.0837,321636.6907,2.018,32.0837,1582.0178938310412,KIRYANDONGO,-0.03825589353436765,-0.4189628253022827,0.274,2,False,0.18502456457397823,0.288,False,False
MITYANA,Mityana,"362,500",362500.0,MITYANA,MITYANA,MITYANA,MITYANA,MITYANA,MITYANA,Mityana District,521460.0,0.4016,32.044,373992.6004,0.4016,32.044,1394.3056612410987,MITYANA,0.03046019713791553,0.2550964191969368,0.446,3,False,-0.09254027406415193,0.42,False,False
KYOTERA,Kyotera,"261,000",261000.0,RAKAI,RAKAI,KYOTERA,KYOTERA,KYOTERA,KYOTERA,Kyotera District,450216.0,0.6359,31.5456,260756.3978,0.6359,31.5456,1726.5770036649892,KYOTERA,0.06429898758290259,1.407075969972852,0.045,3,True,-0.6286677883330127,0.05,False,False
GOMBA,Gomba,"173,800",173800.0,GOMBA,GOMBA,GOMBA,GOMBA,GOMBA,GOMBA,Gomba District,160621.0,0.223,31.6739,45817.58721,0.223,31.6739,3505.6625584365866,GOMBA,-0.3891789811181665,-0.8891673981499929,0.164,4,False,-0.32809961403767013,0.185,False,False
RAKAI,Rakai,"317,700",317700.0,RAKAI,RAKAI,RAKAI,RAKAI,RAKAI,RAKAI,Rakai District,502777.0,0.7083,31.3542,316915.772,0.7083,31.3542,1586.4688488902345,RAKAI,0.1116197689258756,1.1259985623648234,0.092,3,False,-0.5542987041549292,0.114,False,False
BUSHENYI,Bushenyi,"248,300",248300.0,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,Bushenyi District,105843.0,0.4875,30.1127,262692.3706,0.4875,30.1127,402.9161553426554,BUSHENYI,1.0193119694895916,2.231318098713069,0.001,3,True,-0.9892102464884422,0.001,False,True
ISINGIRO,Isingiro,"596,400",596400.0,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,Isingiro District,717025.0,0.8435,30.8039,570793.4366,0.8435,30.8039,1256.189987521661,ISINGIRO,0.3503262144835275,1.8098224809331296,0.013,3,True,-0.8062101890360288,0.01,False,True
RWAMPARA,Rwampara,"144,600",144600.0,MBARARA,MBARARA,MBARARA,MBARARA,RWAMPARA,RWAMPARA,Rwampara District,29043.0,0.7476,30.482,147832.5836,0.7476,30.482,196.4587189965068,RWAMPARA,1.1148429366384403,1.9176518617640579,0.006,3,True,-0.9510877757477257,0.004,False,True
HOIMA,Hoima,"374,500",374500.0,HOIMA,HOIMA,HOIMA,HOIMA,HOIMA,HOIMA,Hoima District,183442.0,1.6343,31.171,235276.2555,1.6343,31.171,779.6876893087071,HOIMA,0.1668642325967993,0.44576662417206314,0.333,3,False,-0.22151084901245321,0.344,False,False
KALAKI,Kalaki,"138,700",138700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KALAKI,KALAKI,Kalaki District,295675.0,0.0,0.0,132298.1315,0.0,0.0,2234.914406179652,KALAKI,0.08597506035391807,0.8175038264971649,0.162,1,False,0.33427436103157915,0.161,False,False
OBONGI,Obongi,"49,100",49100.0,MOYO,MOYO,MOYO,MOYO,OBONGI,OBONGI,Obongi District,453268.0,3.4335,31.5827,88471.6827,3.4335,31.5827,5123.3116197980935,OBONGI,6.004592033295817,5.407733673680709,0.001,1,True,2.6692912501990067,0.002,True,False
KAZO,Kazo,"217,600",217600.0,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KAZO,KAZO,Kazo District,312469.0,0.3576,32.5571,195525.2574,0.3576,32.5571,1598.1004406032303,KAZO,0.042726385790262354,0.4871271423493223,0.327,3,False,-0.22206521301912266,0.31,False,False
ARUA,Terego,"233,700",233700.0,ARUA,ARUA,ARUA,ARUA,TEREGO,TEREGO,Terego District,991571.0,3.171,31.1252,266398.0692,3.171,31.1252,3722.1403404976327,TEREGO,-0.6998356610509915,-0.4940643951774209,0.369,4,False,-0.5257097439394742,0.344,False,False
ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA,ARUA,Arua District,166796.0,3.0018,30.9876,148681.039,3.0018,30.9876,1121.8377348035617,ARUA,-0.6998356610509915,-1.452088992792275,0.048,2,True,1.3128071034516633,0.066,False,False
