dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,District,TOTAL CASES CONFIRMED(B/S & RDT),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),TOTAL POPULATION,Latitude,Longitude,Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bukwo District,50525.0,1.2819,34.7299,103632.5039,1.2819,34.7299,487.5400873142466,BUKWO,0.795086650703774,1.1636045114884113,0.068,3,False,-0.8193277763150784,0.09,False,False
KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Kapchorwa District,38315.0,1.3514,34.3754,121424.9705,1.3514,34.3754,315.5446515014801,KAPCHORWA,0.8840282208809805,1.1531344732465936,0.072,3,False,-0.8119988274984555,0.092,False,False
BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Bukedea District,500587.0,1.3557,34.1087,248003.4467,1.3557,34.1087,2018.4679151074074,BUKEDEA,-0.004761866289871223,-0.13591503782456368,0.494,4,False,-0.0445879549085141,0.492,False,False
KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Kabarole District,130431.0,0.6833,0.0,216280.968,0.6833,0.0,603.0627715703584,KABAROLE,0.4498796453364707,1.4396925788143236,0.048,3,True,-0.5077340210738913,0.056,False,False
MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Masindi District,320651.0,1.6873,31.7138,321013.779,1.6873,31.7138,998.8698958620091,MASINDI,0.08771586383654946,0.43374574027158747,0.366,3,False,-0.14640946735640753,0.363,False,False
KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Kitagwenda District,188160.0,0.0,0.0,167230.318,0.0,0.0,1125.1548298795915,KITAGWENDA,0.12235368250693342,0.496380727049104,0.324,3,False,-0.23516030423106898,0.321,False,False
BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Busia District,944306.0,0.4045,34.0196,374454.5013,0.4045,34.0196,2521.817728780498,BUSIA,-0.1177794983405163,-0.4625388013650508,0.342,4,False,-0.25138833875923144,0.346,False,False
KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,Kalangala District,55550.0,0.6351,32.5373,65596.37205,0.6351,32.5373,846.8456145357812,KALANGALA,0.3588754436081442,1.1613196933164445,0.084,3,False,-0.4997303019946691,0.104,False,False
NTUNGAMO,Ntungamo,"540,800",540800.0,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,Ntungamo District,264941.0,0.9807,30.2513,524101.3617,0.9807,30.2513,505.51480946476613,NTUNGAMO,0.9480483611979127,2.517150944045919,0.001,3,True,-0.9881082876454572,0.001,False,True
MBARARA,Mbarara,"390,700",390700.0,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,Mbarara District,57356.0,0.6121,30.6373,162157.1966,0.6121,30.6373,353.70616415799583,MBARARA,0.8130123509771365,1.9580216840258966,0.007,3,True,-0.7656526817978899,0.005,False,True
MITOOMA,Mitooma,"194,300",194300.0,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,Mitooma District,130204.0,0.6193,30.0203,207910.702,0.6193,30.0203,626.2496290354501,MITOOMA,0.9250045930850588,2.110624817789069,0.002,3,True,-1.0558486051738394,0.001,False,True
NAKASONGOLA,Nakasongola,"215,200",215200.0,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,Nakasongola District,445807.0,1.349,32.4467,207196.8482,1.349,32.4467,2151.610914320848,NAKASONGOLA,-0.018000701185112735,-0.28301268752244724,0.421,4,False,-0.08873527045606316,0.442,False,False
MUBENDE,Mubende,"554,800",554800.0,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,Mubende District,474446.0,0.449,31.3542,475233.8295,0.449,31.3542,998.3422276549022,MUBENDE,0.2245107887974951,1.0553769329606266,0.128,3,False,-0.3673565680960094,0.142,False,False
BUVUMA,Buvuma,"128,900",128900.0,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,Buvuma District,132819.0,0.3765,33.2588,40577.34751,0.3765,33.2588,3273.230217112336,BUVUMA,-0.5157497470691947,-1.0552188695180997,0.112,4,False,-0.5121180854362537,0.125,False,False
KABERAMAIDO,Kaberamaido,"132,700",132700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Kaberamaido District,390635.0,1.6325,0.0,125381.2538,1.6325,0.0,3115.5773942340334,KABERAMAIDO,0.22815894145335358,0.47242267768197915,0.246,1,False,0.26530172808953434,0.237,False,False
SOROTI,Soroti,"363,600",363600.0,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,Soroti District,459566.0,1.7229,33.528,236630.7495,1.7229,33.528,1942.1229107842555,SOROTI,0.018500881873304495,0.7879530300989457,0.154,1,False,0.36506616468418757,0.169,False,False
BUNYANGABU,Bunyangabu,"195,100",195100.0,KABAROLE,KABAROLE,BUNYANGABU,BUNYANGABU,BUNYANGABU,BUNYANGABU,Bunyangabu District,111801.0,0.4871,30.2051,198021.5857,0.4871,30.2051,564.5899642949885,BUNYANGABU,0.4078826449039404,0.80020290396516,0.184,3,False,-0.44786721356759546,0.2,False,False
IBANDA,Ibanda,"277,300",277300.0,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,Ibanda District,553605.0,0.0966,30.4818,283976.8883,0.0966,30.4818,1949.4720268050771,IBANDA,-0.03137716099775879,-1.6035347272422982,0.027,4,True,-0.5603780378402952,0.032,False,True
WAKISO,Wakiso,"2,915,200",2915200.0,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,Wakiso District,1191619.0,0.063,32.4467,2753785.676,0.063,32.4467,432.7203131257772,WAKISO,0.5833510049758355,1.6584052521646881,0.022,3,True,-0.5808296917032366,0.023,False,True
AMOLATAR,Amolatar,"170,100",170100.0,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,Amolatar District,375806.0,1.6054,32.8084,170846.7994,1.6054,32.8084,2199.6666096163344,AMOLATAR,0.05914217417404378,0.6574694318583745,0.219,1,False,0.2548462433270501,0.208,False,False
LAMWO,Lamwo,"143,800",143800.0,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,Lamwo District,1037265.0,3.491,32.808,177231.4362,3.491,32.808,5852.6016729305275,LAMWO,4.13877433738641,2.9215141966053535,0.026,1,True,1.5303543215641355,0.023,True,False
KAABONG,Kaabong,"125,400",125400.0,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,Kaabong District,281906.0,3.5696,34.242,190691.9549,3.5696,34.242,1478.3318999893474,KAABONG,-0.0459297439573435,-0.21776066850648879,0.331,2,False,0.16273852459030125,0.328,False,False
IGANGA,Iganga,"402,600",402600.0,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,Iganga District,1137823.0,0.7236,33.4832,389466.6445,0.7236,33.4832,2921.4902381710895,IGANGA,0.21064947728826244,0.6047218158454165,0.219,1,False,0.2883008808068247,0.221,False,False
NAMAYINGO,Namayingo,"237,000",237000.0,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,Namayingo District,696437.0,0.3426,33.8411,244885.12,0.3426,33.8411,2843.9335146210597,NAMAYINGO,-0.025513856528424566,-0.11006861064617963,0.481,4,False,-0.03183522418731787,0.471,False,False
RUKUNGIRI,Rukungiri,"333,800",333800.0,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,Rukungiri District,207838.0,0.7518,29.9278,350222.7174,0.7518,29.9278,593.4452269200513,RUKUNGIRI,0.8696624373475768,2.6975731871952076,0.001,3,True,-0.9680594902979422,0.001,False,True
PAKWACH,Pakwach,"196,800",196800.0,NEBBI,NEBBI,PAKWACH,PAKWACH,PAKWACH,PAKWACH,Pakwach District,465477.0,2.4738,31.3999,185796.111,2.4738,31.3999,2505.310781235889,PAKWACH,0.3212912003914177,1.5671064178000562,0.071,1,False,0.7165129637245763,0.072,False,False
RUBANDA,Rubanda,"208,500",208500.0,KABALE,KABALE,RUBANDA,RUBANDA,RUBANDA,RUBANDA,Rubanda District,14758.0,1.1517,29.8352,226928.4991,1.1517,29.8352,65.03370030000785,RUBANDA,1.3362938884611295,2.440026809970445,0.001,3,True,-1.0576656874598216,0.001,False,True
LUUKA,Luuka,"267,100",267100.0,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,Luuka District,866639.0,0.7251,33.3037,272730.2396,0.7251,33.3037,3177.6417652514688,LUUKA,0.24666967431791975,0.6391303742424161,0.214,1,False,0.2734187453624571,0.22,False,False
KOLE,Kole,"284,300",284300.0,KOLE,KOLE,KOLE,KOLE,KOLE,KOLE,Kole District,442633.0,2.3031,0.0,270939.1235,2.3031,0.0,1633.6990918183142,KOLE,-0.024679298039841008,-0.2331258545522721,0.317,2,False,0.14532689014878414,0.347,False,False
KALIRO,Kaliro,"288,500",288500.0,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,Kaliro District,593637.0,0.8927,33.5028,255125.7054,0.8927,33.5028,2326.8411901860827,KALIRO,0.12074191537487096,0.8918259148554297,0.149,1,False,0.37514147524461244,0.163,False,False
OMORO,Omoro,"196,400",196400.0,GULU,OMORO,OMORO,OMORO,OMORO,OMORO,Omoro District,646071.0,2.7152,32.492,178645.0953,2.7152,32.492,3616.505669607376,OMORO,1.0650269502611123,2.143447388191097,0.043,1,True,0.8728890582643082,0.045,True,False
RUKIGA,Rukiga,"105,400",105400.0,KABALE,KABALE,RUKIGA,RUKIGA,RUKIGA,RUKIGA,Rukiga District,24507.0,1.1326,30.0434,118659.0444,1.1326,30.0434,206.53292906511894,RUKIGA,1.3070978636797455,2.2532089325816176,0.001,3,True,-1.1201379841887469,0.001,False,True
AMURU,Amuru,"216,800",216800.0,AMURU,AMURU,AMURU,AMURU,AMURU,AMURU,Amuru District,678893.0,3.1042,32.0837,221144.9495,3.1042,32.0837,3069.900540504996,AMURU,1.790065417571577,5.706427648489425,0.001,1,True,2.1131287736797946,0.001,True,False
KITGUM,Kitgum,"223,600",223600.0,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,Kitgum District,822079.0,3.3397,33.1689,224721.6078,3.3397,33.1689,3658.2107437200348,KITGUM,1.8293433942721713,3.202715304554382,0.013,1,True,1.4587053660759952,0.018,True,False
KANUNGU,Kanungu,"277,300",277300.0,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,Kanungu District,279364.0,0.8195,0.0,285449.0367,0.8195,0.0,978.682581064741,KANUNGU,0.7210356715057057,1.9702681415206842,0.001,3,True,-1.14413146364029,0.001,False,True
ZOMBO,Zombo,"283,100",283100.0,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,Zombo District,459103.0,2.4882,30.8499,281289.8136,2.4882,30.8499,1632.1351780368914,ZOMBO,-0.15016132339139854,-1.2164996498461738,0.085,2,False,0.8847320771684597,0.091,False,False
JINJA,Jinja,"515,100",515100.0,JINJA,JINJA,JINJA,JINJA,JINJA,JINJA,Jinja District,580175.0,0.5349,33.2139,256664.1006,0.5349,33.2139,2260.4446770846926,JINJA,0.04404038365085844,0.31647666925527956,0.313,1,False,0.16115338566158738,0.319,False,False
