,dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year
100,KIRUHURA,Kiruhura,"185,700",185700.0,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,KIRUHURA,Ankole,Kiruhura District,0.0,0.0,0.0,3402.0,3158.0,6560.0,5863.0,4681.0,10544.0,1677.0,1612.0,3289.0,1572.0,1550.0,3122.0,0.0,0.0,0.0,3400.0,3155.0,6555.0,5863.0,4676.0,10539.0,1572.0,1549.0,3121.0,1676.0,1612.0,3288.0,23503.0,1.0,1.0,2.0,3400.0,3154.0,6554.0,5853.0,4667.0,10520.0,1571.0,1547.0,3118.0,1676.0,1612.0,3288.0,49.0,226.0,275.0,10942.0,11001.0,21943.0,1572.0,1550.0,3122.0,3003.0,180616.9259,60.14549647,0.322,30.8039,130.1262319845518,KIRUHURA,0.273551210122854,0.989288581831253,0.132,3,False,-0.3701502908527826,0.155,False,False,2020
101,BUHWEJU,Buhweju,"144,100",144100.0,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,BUHWEJU,Ankole,Buhweju District,1.0,0.0,1.0,652.0,668.0,1320.0,1052.0,884.0,1936.0,308.0,251.0,559.0,223.0,221.0,444.0,1.0,0.0,1.0,649.0,662.0,1311.0,1044.0,869.0,1913.0,223.0,221.0,444.0,307.0,250.0,557.0,4226.0,1.0,0.0,1.0,645.0,651.0,1296.0,1020.0,856.0,1876.0,222.0,222.0,444.0,304.0,250.0,554.0,7.0,21.0,28.0,2013.0,2024.0,4037.0,224.0,221.0,445.0,751.0,58583.41681,78.0072128,0.3558,30.3897,72.13645482143738,BUHWEJU,0.6575276845829461,1.6846021529928568,0.015,3,True,-0.7266484702962535,0.012,False,True,2020
102,KAKUMIRO,Kakumiro,"473,400",473400.0,KIBAALE,KAKUMIRO,KAKUMIRO,KAKUMIRO,KAKUMIRO,KAKUMIRO,Bunyoro,Kakumiro District,10.0,9.0,19.0,10767.0,6852.0,17619.0,13591.0,6496.0,20087.0,5509.0,4631.0,10140.0,6382.0,5537.0,11919.0,10.0,9.0,19.0,10185.0,6515.0,16700.0,12300.0,5949.0,18249.0,6068.0,5212.0,11280.0,5300.0,4444.0,9744.0,55992.0,10.0,9.0,19.0,10473.0,6703.0,17176.0,12860.0,6134.0,18994.0,6194.0,5353.0,11547.0,5456.0,4585.0,10041.0,578.0,1487.0,2065.0,29877.0,23525.0,53402.0,6392.0,5546.0,11938.0,1701.0,367946.3179,216.3117683,1.0028,31.3084,152.17437239096773,KAKUMIRO,0.2986068052133324,1.0284343610672166,0.127,3,False,-0.4390067976255828,0.142,False,False,2020
103,KABALE,Kabale,"248,700",248700.0,KABALE,KABALE,KABALE,KABALE,KABALE,KABALE,Kigezi,Kabale District,20.0,12.0,32.0,462.0,496.0,958.0,1632.0,2363.0,3995.0,172.0,149.0,321.0,212.0,231.0,443.0,1.0,3.0,4.0,298.0,373.0,671.0,1137.0,1915.0,3052.0,120.0,146.0,266.0,100.0,89.0,189.0,4182.0,1.0,1.0,2.0,285.0,350.0,635.0,1078.0,1802.0,2880.0,116.0,139.0,255.0,96.0,86.0,182.0,6.0,24.0,30.0,2286.0,3251.0,5537.0,232.0,243.0,475.0,561.0,262176.9302,467.3385565,1.3505,30.0203,15.951060212696014,KABALE,1.1672679693317205,1.564204144966768,0.002,3,True,-1.0979638860674583,0.002,False,True,2020
104,AMUDAT,Amudat,"134,900",134900.0,AMUDAT,AMUDAT,AMUDAT,AMUDAT,AMUDAT,AMUDAT,Karamoja,Amudat District,8.0,5.0,13.0,3393.0,2496.0,5889.0,5021.0,1883.0,6904.0,3100.0,2837.0,5937.0,4398.0,4221.0,8619.0,7.0,5.0,12.0,3315.0,2450.0,5765.0,4661.0,1814.0,6475.0,4306.0,4131.0,8437.0,3021.0,2798.0,5819.0,26508.0,117.0,5.0,122.0,3081.0,2275.0,5356.0,4305.0,1639.0,5944.0,3999.0,3791.0,7790.0,2826.0,2618.0,5444.0,109.0,351.0,460.0,11522.0,11442.0,22964.0,4406.0,4226.0,8632.0,1616.0,156566.9591,96.88549447,1.7916,34.9066,169.30775274921976,AMUDAT,0.1968757707935684,0.6558942383185132,0.243,3,False,-0.3124301005951658,0.295,False,False,2020
105,MAYUGE,Mayuge,"565,100",565100.0,MAYUGE,MAYUGE,MAYUGE,MAYUGE,MAYUGE,MAYUGE,Busoga,Mayuge District,42.0,18.0,60.0,31694.0,16826.0,48520.0,59180.0,27771.0,86951.0,20290.0,15504.0,35794.0,29025.0,25738.0,54763.0,42.0,18.0,60.0,31330.0,16598.0,47928.0,57940.0,27249.0,85189.0,28651.0,25370.0,54021.0,20134.0,15332.0,35466.0,222664.0,41.0,16.0,57.0,31133.0,16499.0,47632.0,57528.0,27067.0,84595.0,28481.0,25240.0,53721.0,20027.0,15246.0,35273.0,2305.0,4802.0,7107.0,111206.0,85857.0,197063.0,29067.0,25756.0,54823.0,1075.0,533324.8616,496.1161503,0.3125,33.528,417.5016318046704,MAYUGE,0.0195271513145237,0.8576920063356994,0.174,1,False,0.3119954894978359,0.143,False,False,2020
106,NWOYA,Nwoya,"236,000",236000.0,NWOYA,NWOYA,NWOYA,NWOYA,NWOYA,NWOYA,Acholi,Nwoya District,30.0,38.0,68.0,20537.0,11737.0,32274.0,22689.0,8819.0,31508.0,12403.0,9686.0,22089.0,15861.0,14750.0,30611.0,27.0,36.0,63.0,19755.0,11378.0,31133.0,21053.0,8226.0,29279.0,15350.0,14313.0,29663.0,12078.0,9429.0,21507.0,111645.0,25.0,33.0,58.0,19673.0,11335.0,31008.0,20833.0,8106.0,28939.0,15247.0,14204.0,29451.0,12019.0,9360.0,21379.0,1003.0,2037.0,3040.0,55659.0,45030.0,100689.0,15891.0,14788.0,30679.0,4679.0,180449.3616,38.56579644,2.6351,32.0028,618.7054307650153,NWOYA,0.3233961141609858,1.3561593001704215,0.093,1,False,0.516334268789437,0.08,False,False,2020
107,OYAM,Oyam,"453,700",453700.0,OYAM,OYAM,OYAM,OYAM,OYAM,OYAM,Lango,Oyam District,111.0,101.0,212.0,47484.0,21277.0,68761.0,58336.0,22338.0,80674.0,21414.0,15366.0,36780.0,23436.0,21213.0,44649.0,110.0,99.0,209.0,46799.0,20762.0,67561.0,54394.0,21878.0,76272.0,23144.0,20977.0,44121.0,20971.0,15020.0,35991.0,224154.0,110.0,99.0,209.0,46516.0,20656.0,67172.0,54063.0,21872.0,75935.0,23016.0,21139.0,44155.0,20850.0,14940.0,35790.0,4581.0,8602.0,13183.0,127345.0,80295.0,207640.0,23547.0,21314.0,44861.0,2196.0,437457.3758,199.2064553,2.2776,32.4467,512.4019216502601,OYAM,0.1556812809679725,1.1492012271015628,0.114,1,False,0.4720051706860756,0.106,False,False,2020
108,KOBOKO,Koboko,"258,000",258000.0,KOBOKO,KOBOKO,KOBOKO,KOBOKO,KOBOKO,KOBOKO,West Nile,Koboko District,19.0,19.0,38.0,27367.0,12712.0,40079.0,33204.0,10261.0,43465.0,17381.0,13005.0,30386.0,22578.0,20911.0,43489.0,18.0,18.0,36.0,26461.0,12286.0,38747.0,30921.0,9237.0,40158.0,21590.0,20145.0,41735.0,16650.0,12504.0,29154.0,149830.0,16.0,18.0,34.0,26115.0,12186.0,38301.0,30854.0,9289.0,40143.0,21514.0,20046.0,41560.0,16817.0,12443.0,29260.0,996.0,2366.0,3362.0,77971.0,56908.0,134879.0,22597.0,20930.0,43527.0,739.0,243497.9288,329.4965207,3.5237,31.0335,615.3235090679752,KOBOKO,0.4584151483548562,1.0145105223036803,0.115,1,False,0.7409926184532998,0.093,False,False,2020
109,KIBUKU,Kibuku,"250,600",250600.0,KIBUKU,KIBUKU,KIBUKU,KIBUKU,KIBUKU,KIBUKU,Bukedi,Kibuku District,2.0,3.0,5.0,2219.0,1260.0,3479.0,3066.0,1089.0,4155.0,1705.0,1406.0,3111.0,2332.0,2150.0,4482.0,2.0,3.0,5.0,2188.0,1248.0,3436.0,2998.0,1067.0,4065.0,2314.0,2146.0,4460.0,1689.0,1397.0,3086.0,15052.0,2.0,3.0,5.0,2188.0,1248.0,3436.0,2998.0,1067.0,4065.0,2312.0,2146.0,4458.0,1689.0,1397.0,3086.0,121.0,229.0,350.0,6992.0,5908.0,12900.0,2334.0,2153.0,4487.0,484.0,229271.2657,473.7009621,1.0453,33.7993,65.65148909543443,KIBUKU,0.4914203996311629,1.3429991711740763,0.058,3,False,-0.5344238746950466,0.056,False,False,2020
110,KWANIA,Kwania,"216,600",216600.0,APAC,APAC,APAC,KWANIA,KWANIA,KWANIA,Lango,Kwania District,35.0,30.0,65.0,22108.0,9718.0,31826.0,25261.0,10544.0,35805.0,10679.0,7720.0,18399.0,14525.0,13431.0,27956.0,34.0,29.0,63.0,23740.0,9588.0,33328.0,24391.0,10174.0,34565.0,14307.0,12344.0,26651.0,10454.0,7595.0,18049.0,112656.0,31.0,27.0,58.0,20469.0,8896.0,29365.0,23554.0,9625.0,33179.0,13175.0,11459.0,24634.0,9841.0,7108.0,16949.0,784.0,1607.0,2391.0,58083.0,41443.0,99526.0,14560.0,13461.0,28021.0,1223.0,202344.6754,165.4494484,1.9033,32.7633,556.752974978456,KWANIA,0.0496612609323322,0.226047181973785,0.35,1,False,0.1120456794024439,0.311,False,False,2020
111,NABILATUK,Nabilatuk,"89,700",89700.0,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NABILATUK,NABILATUK,NABILATUK,Karamoja,Nabilatuk District,8.0,5.0,13.0,3402.0,1627.0,5029.0,5129.0,1684.0,6813.0,2804.0,1967.0,4771.0,9987.0,9362.0,19349.0,7.0,5.0,12.0,3377.0,1617.0,4994.0,5042.0,1593.0,6635.0,9933.0,9147.0,19080.0,2792.0,1959.0,4751.0,35472.0,7.0,5.0,12.0,3267.0,1581.0,4848.0,4910.0,1564.0,6474.0,9666.0,8954.0,18620.0,2736.0,1917.0,4653.0,169.0,543.0,712.0,11343.0,14645.0,25988.0,9995.0,9367.0,19362.0,1561.0,103673.6483,66.4148932,2.091,34.5971,342.15059064338914,NABILATUK,-0.0592272434085545,-0.7421206641521033,0.193,2,False,0.3913759090905249,0.152,False,False,2020
112,BUGWERI,Bugweri,"191,600",191600.0,IGANGA,IGANGA,IGANGA,BUGWERI,BUGWERI,BUGWERI,Busoga,Bugweri District,23.0,13.0,36.0,15016.0,8082.0,23098.0,24551.0,10023.0,34574.0,11010.0,8433.0,19443.0,14619.0,12518.0,27137.0,23.0,13.0,36.0,14750.0,7969.0,22719.0,23947.0,9877.0,33824.0,14506.0,12391.0,26897.0,10670.0,8371.0,19041.0,102517.0,23.0,13.0,36.0,14318.0,7781.0,22099.0,23221.0,9600.0,32821.0,14043.0,12109.0,26152.0,10351.0,8035.0,18386.0,827.0,1244.0,2071.0,50600.0,39069.0,89669.0,14642.0,12531.0,27173.0,302.0,191457.8987,633.966552,0.6116,33.5952,535.454534370694,BUGWERI,-0.0693052918743331,-0.3765458147549927,0.391,4,False,-0.1717154818253931,0.433,False,False,2020
113,MADI OKOLLO,Madi Okollo,"164,200",164200.0,ARUA,ARUA,ARUA,ARUA,MADI OKOLLO,MADI-OKOLLO,West Nile,Madi-Okollo District,19.0,22.0,41.0,27750.0,19415.0,47165.0,27913.0,10216.0,38129.0,16191.0,12844.0,29035.0,18405.0,18467.0,36872.0,17.0,20.0,37.0,27076.0,18939.0,46015.0,26959.0,9850.0,36809.0,18094.0,17974.0,36068.0,15924.0,12708.0,28632.0,147561.0,17.0,20.0,37.0,26694.0,18621.0,45315.0,26799.0,9811.0,36610.0,18019.0,17906.0,35925.0,15749.0,12583.0,28332.0,863.0,2801.0,3664.0,71873.0,60964.0,132837.0,18424.0,18489.0,36913.0,2048.0,161812.097,79.00981301,2.8218,31.2168,911.9281112832992,MADI-OKOLLO,2.497213806590546,4.556711140796334,0.002,1,True,1.730240144286039,0.001,True,False,2020
114,KARENGA,Karenga,"68,500",68500.0,KAABONG,KAABONG,KAABONG,KAABONG,KARENGA,KARENGA,Karamoja,Karenga District,1.0,1.0,2.0,5208.0,3032.0,8240.0,7388.0,3079.0,10467.0,2470.0,1839.0,4309.0,4977.0,5003.0,9980.0,1.0,1.0,2.0,4442.0,2547.0,6989.0,6037.0,2680.0,8717.0,4443.0,4310.0,8753.0,2188.0,1665.0,3853.0,28314.0,1.0,1.0,2.0,5006.0,2894.0,7900.0,7083.0,2991.0,10074.0,4764.0,4776.0,9540.0,2340.0,1733.0,4073.0,205.0,729.0,934.0,15067.0,12954.0,28021.0,4978.0,5004.0,9982.0,25702.0,76699.97985,2.98420278,3.5691,33.6931,369.1526393536595,KARENGA,-0.0480664414660214,-1.1006782153981158,0.102,2,False,0.6457692919308721,0.1,False,False,2020
115,NAMISINDWA,Namisindwa,"231,500",231500.0,MANAFWA,MANAFWA,NAMISINDWA,NAMISINDWA,NAMISINDWA,NAMISINDWA,Bugisu,Namisindwa District,2.0,0.0,2.0,4940.0,2859.0,7799.0,10853.0,5721.0,16574.0,2522.0,1754.0,4276.0,3770.0,3367.0,7137.0,0.0,0.0,0.0,4294.0,2520.0,6814.0,8906.0,5015.0,13921.0,3257.0,2894.0,6151.0,2163.0,1578.0,3741.0,30627.0,0.0,0.0,0.0,3979.0,2382.0,6361.0,8414.0,4670.0,13084.0,3105.0,2780.0,5885.0,2016.0,1470.0,3486.0,456.0,517.0,973.0,18317.0,13701.0,32018.0,3772.0,3367.0,7139.0,298.0,234639.7804,787.3818133,0.9054,34.3754,130.52773893578023,NAMISINDWA,0.4026683983282374,0.963188575987203,0.138,3,False,-0.5430296315026254,0.141,False,False,2020
116,BULAMBULI,Bulambuli,"230,600",230600.0,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,BULAMBULI,Bugisu,Bulambuli District,5.0,2.0,7.0,5887.0,3962.0,9849.0,10857.0,5951.0,16808.0,3100.0,2489.0,5589.0,3684.0,3541.0,7225.0,3.0,2.0,5.0,5241.0,3526.0,8767.0,9540.0,5299.0,14839.0,3273.0,3224.0,6497.0,2836.0,2253.0,5089.0,35197.0,3.0,2.0,5.0,5199.0,3561.0,8760.0,9317.0,5185.0,14502.0,3179.0,3189.0,6368.0,2799.0,2252.0,5051.0,329.0,700.0,1029.0,19849.0,15945.0,35794.0,3689.0,3543.0,7232.0,695.0,208835.8364,300.4832179,1.4815,34.2866,168.53908125511737,BULAMBULI,0.2884801544298102,1.0655787767354248,0.116,3,False,-0.4540818872426772,0.132,False,False,2020
117,NGORA,Ngora,"165,800",165800.0,NGORA,NGORA,NGORA,NGORA,NGORA,NGORA,Teso,Ngora District,7.0,14.0,21.0,18068.0,9328.0,27396.0,23049.0,8046.0,31095.0,8820.0,6363.0,15183.0,8655.0,7441.0,16096.0,5.0,7.0,12.0,17897.0,9294.0,27191.0,22837.0,7747.0,30584.0,8369.0,7286.0,15655.0,8684.0,6239.0,14923.0,88365.0,4.0,6.0,10.0,16765.0,8531.0,25296.0,21182.0,7318.0,28500.0,7861.0,6853.0,14714.0,8136.0,5777.0,13913.0,1521.0,3020.0,4541.0,49944.0,31192.0,81136.0,8662.0,7455.0,16117.0,640.0,181464.9711,283.5390173,1.4908,33.7518,486.953484544985,NGORA,0.0044654135488897,0.0090840761736274,0.426,1,False,0.0191315716097552,0.414,False,False,2020
118,KAPELEBYONG,Kapelebyong,"103,800",103800.0,AMURIA,AMURIA,AMURIA,KAPELEBYONG,KAPELEBYONG,KAPELEBYONG,Teso,Kapelebyong District,31.0,20.0,51.0,15259.0,7072.0,22331.0,14844.0,5052.0,19896.0,7750.0,5446.0,13196.0,7228.0,7059.0,14287.0,30.0,19.0,49.0,15120.0,7050.0,22170.0,14650.0,5020.0,19670.0,7112.0,6592.0,13704.0,7750.0,5443.0,13193.0,68786.0,30.0,19.0,49.0,14809.0,6908.0,21717.0,14359.0,4922.0,19281.0,7025.0,6482.0,13507.0,7618.0,5366.0,12984.0,495.0,1086.0,1581.0,37884.0,24649.0,62533.0,7259.0,7079.0,14338.0,1203.0,117798.1527,97.92032643,2.211,33.7518,583.9310585385775,KAPELEBYONG,0.1518690644149309,0.6868282269913197,0.208,1,False,0.288424236118826,0.185,False,False,2020
119,MOYO,Moyo,"109,500",109500.0,MOYO,MOYO,MOYO,MOYO,MOYO,MOYO,West Nile,Moyo District,23.0,28.0,51.0,25142.0,19355.0,44497.0,21941.0,10320.0,32261.0,16269.0,13859.0,30128.0,16592.0,16581.0,33173.0,23.0,25.0,48.0,24192.0,18815.0,43007.0,19710.0,9666.0,29376.0,16132.0,16065.0,32197.0,15860.0,13543.0,29403.0,134031.0,23.0,33.0,56.0,23904.0,18650.0,42554.0,19465.0,9576.0,29041.0,15923.0,15848.0,31771.0,15682.0,13376.0,29058.0,355.0,844.0,1199.0,63375.0,60143.0,123518.0,16615.0,16609.0,33224.0,1072.0,103905.7438,96.92699978,3.636,31.7651,1289.9286901596677,MOYO,8.422489863658454,5.902311199770872,0.001,1,True,3.423464341086969,0.001,True,False,2020
120,NTOROKO,Ntoroko,"76,000",76000.0,NTOROKO,NTOROKO,NTOROKO,NTOROKO,NTOROKO,NTOROKO,Tooro,Ntoroko District,11.0,0.0,11.0,970.0,665.0,1635.0,1349.0,918.0,2267.0,574.0,443.0,1017.0,512.0,548.0,1060.0,11.0,0.0,11.0,946.0,656.0,1602.0,1336.0,892.0,2228.0,502.0,536.0,1038.0,567.0,441.0,1008.0,5887.0,11.0,0.0,11.0,944.0,657.0,1601.0,1317.0,875.0,2192.0,498.0,534.0,1032.0,564.0,440.0,1004.0,50.0,85.0,135.0,2904.0,2574.0,5478.0,523.0,548.0,1071.0,1236.0,92584.78757,74.90678606,1.0125,30.3897,63.58495984612,NTOROKO,0.387636934785501,0.8721973103896878,0.169,3,False,-0.4204949482045098,0.17,False,False,2020
121,BUNDIBUGYO,Bundibugyo,"263,800",263800.0,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,BUNDIBUGYO,Tooro,Bundibugyo District,16.0,27.0,43.0,12840.0,7801.0,20641.0,24092.0,12405.0,36497.0,8566.0,6676.0,15242.0,10019.0,8935.0,18954.0,16.0,25.0,41.0,12599.0,7696.0,20295.0,23560.0,12274.0,35834.0,9830.0,8760.0,18590.0,8385.0,6536.0,14921.0,89681.0,16.0,24.0,40.0,12633.0,7702.0,20335.0,23855.0,12372.0,36227.0,9927.0,8795.0,18722.0,8436.0,6573.0,15009.0,593.0,1234.0,1827.0,45514.0,35844.0,81358.0,10035.0,8962.0,18997.0,850.0,247815.3567,291.5474784,0.6852,0.0,361.8863705390377,BUNDIBUGYO,0.0733550809388428,1.58016138262724,0.017,3,True,-0.7731456027936454,0.015,False,True,2020
122,KIRYANDONGO,Kiryandongo,"313,800",313800.0,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,KIRYANDONGO,Bunyoro,Kiryandongo District,26.0,19.0,45.0,24250.0,18814.0,43064.0,145500.0,11664.0,157164.0,12379.0,10244.0,22623.0,16794.0,16040.0,32834.0,25.0,19.0,44.0,23580.0,18192.0,41772.0,22412.0,10973.0,33385.0,16433.0,15695.0,32128.0,12114.0,10052.0,22166.0,129495.0,23.0,16.0,39.0,22863.0,17114.0,39977.0,21632.0,10712.0,32344.0,15787.0,15026.0,30813.0,12006.0,9619.0,21625.0,1524.0,3148.0,4672.0,182155.0,56781.0,238936.0,16820.0,16059.0,32879.0,3582.0,321636.6907,89.79248763,2.018,32.0837,402.6126488186754,KIRYANDONGO,0.0084428214427553,0.8971017623345572,0.157,1,False,0.4124619958752675,0.143,False,False,2020
123,MITYANA,Mityana,"362,500",362500.0,MITYANA,MITYANA,MITYANA,MITYANA,MITYANA,MITYANA,North Central,Mityana District,30.0,32.0,62.0,17133.0,14769.0,31902.0,28011.0,19051.0,47062.0,10228.0,9344.0,19572.0,10649.0,10329.0,20978.0,26.0,24.0,50.0,15935.0,13591.0,29526.0,25997.0,17539.0,43536.0,11293.0,9680.0,20973.0,9415.0,8678.0,18093.0,112178.0,31.0,24.0,55.0,16473.0,13899.0,30372.0,26627.0,17819.0,44446.0,10220.0,9801.0,20021.0,9761.0,8877.0,18638.0,484.0,2055.0,2539.0,55402.0,53525.0,108927.0,10679.0,10361.0,21040.0,1525.0,373992.6004,245.2410495,0.4016,32.044,299.94711093219803,MITYANA,0.0116925015464053,0.1361653845069739,0.491,3,False,-0.04523468283967,0.497,False,False,2020
124,KYOTERA,Kyotera,"261,000",261000.0,RAKAI,RAKAI,KYOTERA,KYOTERA,KYOTERA,KYOTERA,South Central,Kyotera District,21.0,13.0,34.0,18502.0,15969.0,34471.0,22928.0,14833.0,37761.0,10932.0,9804.0,20736.0,8884.0,8559.0,17443.0,21.0,13.0,34.0,18502.0,15969.0,34471.0,22928.0,14833.0,37761.0,8884.0,8559.0,17443.0,10932.0,9804.0,20736.0,110445.0,21.0,13.0,34.0,18502.0,15969.0,34471.0,22928.0,14833.0,37761.0,8884.0,8559.0,17443.0,10932.0,9804.0,20736.0,340.0,1042.0,1382.0,52383.0,49178.0,101561.0,8905.0,8572.0,17477.0,1723.0,260756.3978,151.3385942,0.6359,31.5456,423.55624226988766,KYOTERA,-0.0416751347064123,-1.2080881684996654,0.086,4,False,-0.5213720355046169,0.086,False,False,2020
125,GOMBA,Gomba,"173,800",173800.0,GOMBA,GOMBA,GOMBA,GOMBA,GOMBA,GOMBA,South Central,Gomba District,0.0,1.0,1.0,5817.0,5033.0,10850.0,7317.0,5187.0,12504.0,3583.0,3194.0,6777.0,2782.0,2614.0,5396.0,0.0,1.0,1.0,5437.0,4691.0,10128.0,6793.0,4800.0,11593.0,2513.0,2364.0,4877.0,3303.0,2983.0,6286.0,32885.0,0.0,1.0,1.0,5377.0,4696.0,10073.0,6685.0,4676.0,11361.0,2535.0,2366.0,4901.0,3275.0,2957.0,6232.0,93.0,471.0,564.0,16717.0,16029.0,32746.0,2782.0,2615.0,5397.0,1670.0,45817.58721,27.43568096,0.223,31.6739,717.7374890841617,GOMBA,-0.2095690632054037,-0.6082442910481601,0.282,4,False,-0.2232788565530909,0.299,False,False,2020
126,RAKAI,Rakai,"317,700",317700.0,RAKAI,RAKAI,RAKAI,RAKAI,RAKAI,RAKAI,South Central,Rakai District,4.0,1.0,5.0,20593.0,15703.0,36296.0,22016.0,12983.0,34999.0,10916.0,9323.0,20239.0,8376.0,7930.0,16306.0,4.0,1.0,5.0,20427.0,15643.0,36070.0,21748.0,12892.0,34640.0,8281.0,7854.0,16135.0,10838.0,9277.0,20115.0,106965.0,4.0,1.0,5.0,20166.0,15454.0,35620.0,21579.0,12761.0,34340.0,8238.0,7795.0,16033.0,10711.0,9181.0,19892.0,360.0,853.0,1213.0,53529.0,45940.0,99469.0,8380.0,7931.0,16311.0,1528.0,316915.772,207.4056099,0.7083,31.3542,337.5187019723336,RAKAI,0.0716040651107285,0.9132634955512624,0.162,3,False,-0.4377562430052009,0.163,False,False,2020
127,BUSHENYI,Bushenyi,"248,300",248300.0,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,BUSHENYI,Ankole,Bushenyi District,0.0,2.0,2.0,4317.0,3932.0,8249.0,5546.0,4119.0,9665.0,1788.0,1573.0,3361.0,1247.0,1294.0,2541.0,0.0,2.0,2.0,4216.0,3822.0,8038.0,5008.0,3657.0,8665.0,1199.0,1246.0,2445.0,1735.0,1508.0,3243.0,22393.0,0.0,2.0,2.0,3973.0,3591.0,7564.0,4682.0,3399.0,8081.0,1121.0,1118.0,2239.0,1626.0,1412.0,3038.0,54.0,190.0,244.0,11651.0,10920.0,22571.0,1247.0,1296.0,2543.0,845.0,262692.3706,310.8785451,0.4875,30.1127,85.24419627739276,BUSHENYI,0.738004658456776,1.9431901985784308,0.003,3,True,-0.8484097758398664,0.001,False,True,2020
128,ISINGIRO,Isingiro,"596,400",596400.0,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,ISINGIRO,Ankole,Isingiro District,71.0,57.0,128.0,34111.0,27631.0,61742.0,49805.0,33824.0,83629.0,18921.0,16470.0,35391.0,20879.0,19005.0,39884.0,80.0,55.0,135.0,33697.0,27397.0,61094.0,48593.0,32853.0,81446.0,20703.0,18726.0,39429.0,18801.0,16354.0,35155.0,217259.0,59.0,39.0,98.0,31627.0,25892.0,57519.0,46181.0,30102.0,76283.0,19640.0,17788.0,37428.0,17769.0,15450.0,33219.0,421.0,1695.0,2116.0,102908.0,96987.0,199895.0,20950.0,19062.0,40012.0,2536.0,570793.4366,225.0762763,0.8435,30.8039,380.6263107966509,ISINGIRO,0.0320368218808704,1.762502806212604,0.006,3,True,-0.7658862989084607,0.003,False,True,2020
129,RWAMPARA,Rwampara,"144,600",144600.0,MBARARA,MBARARA,MBARARA,MBARARA,RWAMPARA,RWAMPARA,Ankole,Rwampara District,10.0,2.0,12.0,778.0,592.0,1370.0,2522.0,1661.0,4183.0,303.0,267.0,570.0,351.0,345.0,696.0,0.0,0.0,0.0,584.0,490.0,1074.0,1936.0,1355.0,3291.0,208.0,221.0,429.0,228.0,180.0,408.0,5202.0,0.0,0.0,0.0,552.0,466.0,1018.0,1813.0,1283.0,3096.0,182.0,204.0,386.0,219.0,167.0,386.0,2.0,15.0,17.0,3613.0,2867.0,6480.0,361.0,347.0,708.0,542.0,147832.5836,272.7538444,0.7476,30.482,35.18845354198355,RWAMPARA,0.7690245298108122,1.563022133361275,0.016,3,True,-0.7637126587037552,0.016,False,True,2020
