,dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year
10,LUWERO,Luwero,"523,600",523600.0,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,83.0,59.0,142.0,30912.0,26298.0,57210.0,36602.0,24039.0,60641.0,20920.0,19069.0,39989.0,18300.0,17698.0,35998.0,37.0,43.0,80.0,28534.0,27751.0,56285.0,32307.0,21454.0,53761.0,16620.0,16056.0,32676.0,19507.0,17729.0,37236.0,180038.0,38.0,43.0,81.0,28661.0,24573.0,53234.0,32249.0,21673.0,53922.0,16662.0,16064.0,32726.0,19601.0,17827.0,37428.0,1347.0,2602.0,3949.0,88517.0,87163.0,175680.0,18383.0,17757.0,36140.0,2216.0,546765.7355,246.7354402,0.8271,0.0,329.27813195053443,LUWERO,0.0390155929383864,0.5023590538832622,0.349,3,False,-0.2096079545485348,0.339,False,False,2020
11,MPIGI,Mpigi,"286,600",286600.0,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,11.0,10.0,21.0,5337.0,5224.0,10561.0,9303.0,7353.0,16656.0,2944.0,2903.0,5847.0,3228.0,2971.0,6199.0,17.0,10.0,27.0,5134.0,5077.0,10211.0,8968.0,6885.0,15853.0,2958.0,2869.0,5827.0,2851.0,2836.0,5687.0,37605.0,9.0,9.0,18.0,4801.0,4803.0,9604.0,8384.0,6344.0,14728.0,2783.0,2689.0,5472.0,2646.0,2687.0,5333.0,134.0,641.0,775.0,17595.0,18461.0,36056.0,3239.0,2981.0,6220.0,1204.0,293790.5895,244.0121175,0.2274,32.3249,127.99933470980017,MPIGI,0.1918506544517229,0.6491014363392745,0.285,3,False,-0.2592856920590177,0.247,False,False,2020
12,KAYUNGA,Kayunga,"407,700",407700.0,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,75.0,64.0,139.0,27071.0,16511.0,43582.0,34106.0,18262.0,52368.0,17849.0,14689.0,32538.0,23279.0,21391.0,44670.0,72.0,60.0,132.0,26917.0,16441.0,43358.0,33935.0,17854.0,51789.0,23102.0,21254.0,44356.0,17715.0,14586.0,32301.0,171936.0,66.0,50.0,116.0,26535.0,16230.0,42765.0,33385.0,17684.0,51069.0,22745.0,20856.0,43601.0,17458.0,14405.0,31863.0,1801.0,3746.0,5547.0,79101.0,70917.0,150018.0,23354.0,21455.0,44809.0,1596.0,409214.4479,256.40003,0.7014,32.9029,420.16111816759735,KAYUNGA,-0.0001163682750522,-0.0703404520614121,0.465,4,False,-0.0011370412042689,0.437,False,False,2020
13,KYANKWANZI,Kyankwanzi,"282,800",282800.0,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,North Central,Kyankwanzi District,14.0,9.0,23.0,6392.0,4227.0,10619.0,10067.0,5854.0,15921.0,4031.0,3182.0,7213.0,4705.0,4436.0,9141.0,12.0,8.0,20.0,5896.0,4043.0,9939.0,8971.0,5365.0,14336.0,4396.0,4201.0,8597.0,3844.0,3034.0,6878.0,39770.0,13.0,9.0,22.0,5564.0,3730.0,9294.0,8430.0,5047.0,13477.0,4042.0,3890.0,7932.0,3543.0,2780.0,6323.0,901.0,1247.0,2148.0,20504.0,17708.0,38212.0,4719.0,4445.0,9164.0,2455.0,250933.4988,102.2132378,1.2061,31.8164,158.4882058002851,KYANKWANZI,0.2238728626204712,0.8875218823182047,0.177,3,False,-0.3389206695085839,0.155,False,False,2020
14,KIBOGA,Kiboga,"171,200",171200.0,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,North Central,Kiboga District,4.0,6.0,10.0,8653.0,7605.0,16258.0,12305.0,9360.0,21665.0,5446.0,4978.0,10424.0,5578.0,5481.0,11059.0,4.0,6.0,10.0,8582.0,7504.0,16086.0,12117.0,8903.0,21020.0,5475.0,5369.0,10844.0,5405.0,4949.0,10354.0,58314.0,30.0,6.0,36.0,8456.0,7435.0,15891.0,11826.0,8674.0,20500.0,5393.0,5273.0,10666.0,5559.0,4900.0,10459.0,172.0,529.0,701.0,26408.0,27430.0,53838.0,5582.0,5487.0,11069.0,1586.0,168342.5414,106.1428382,0.8658,31.9473,346.4008533733589,KIBOGA,0.0550362568496122,0.8121274949352911,0.194,3,False,-0.3973877053793069,0.198,False,False,2020
15,MUKONO,Mukono,"701,400",701400.0,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,78.0,47.0,125.0,22158.0,17552.0,39710.0,36484.0,22815.0,59299.0,14305.0,12628.0,26933.0,14784.0,14401.0,29185.0,55.0,30.0,85.0,20927.0,16790.0,37717.0,33378.0,20892.0,54270.0,13861.0,13508.0,27369.0,13596.0,12190.0,25786.0,145227.0,48.0,30.0,78.0,20543.0,16459.0,37002.0,32703.0,20532.0,53235.0,13579.0,13226.0,26805.0,13372.0,11864.0,25236.0,806.0,2594.0,3400.0,73025.0,67443.0,140468.0,14862.0,14448.0,29310.0,1831.0,778403.7886,425.1249528,0.2835,0.0,186.57026356616063,MUKONO,0.1715336041564251,0.7741340998044529,0.236,3,False,-0.294556838890709,0.197,False,False,2020
16,NAKASEKE,Nakaseke,"234,600",234600.0,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,North Central,Nakaseke District,25.0,12.0,37.0,10614.0,9535.0,20149.0,16081.0,15866.0,31947.0,7304.0,6610.0,13914.0,6846.0,6510.0,13356.0,22.0,71.0,93.0,10007.0,9049.0,19056.0,14806.0,12714.0,27520.0,6174.0,5883.0,12057.0,6947.0,6239.0,13186.0,71912.0,22.0,7.0,29.0,9612.0,9139.0,18751.0,14840.0,13114.0,27954.0,9856.0,5623.0,15479.0,6686.0,6047.0,12733.0,185.0,685.0,870.0,34024.0,38533.0,72557.0,6871.0,6522.0,13393.0,3475.0,228208.6952,65.67156697,1.2231,32.0837,315.115074546029,NAKASEKE,0.0620966429283078,0.721592469339864,0.25,3,False,-0.2746319083751761,0.212,False,False,2020
17,KASSANDA,Kassanda,"312,700",312700.0,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,16.0,10.0,26.0,10823.0,8164.0,18987.0,17409.0,10518.0,27927.0,7306.0,6363.0,13669.0,7600.0,7104.0,14704.0,14.0,4.0,18.0,10506.0,8052.0,18558.0,17242.0,10049.0,27291.0,7441.0,6940.0,14381.0,7218.0,6231.0,13449.0,73697.0,30.0,6.0,36.0,10104.0,7734.0,17838.0,15913.0,9572.0,25485.0,7151.0,6649.0,13800.0,6898.0,5962.0,12860.0,741.0,1551.0,2292.0,35554.0,32159.0,67713.0,7616.0,7114.0,14730.0,1819.0,296278.7557,162.8800196,0.5761,31.7195,248.7421004110826,KASSANDA,-0.0211291379908125,-0.0568775677326886,0.393,2,False,0.0477801701315903,0.374,False,False,2020
18,MBALE,Mbale,"586,300",586300.0,MBALE,MBALE,MBALE,MBALE,MBALE,MBALE,Bugisu,Mbale District,11.0,9.0,20.0,13834.0,8310.0,22144.0,21691.0,9568.0,31259.0,7775.0,6119.0,13894.0,11468.0,10586.0,22054.0,11.0,9.0,20.0,13785.0,8275.0,22060.0,21497.0,9504.0,31001.0,11386.0,9825.0,21211.0,7752.0,6081.0,13833.0,88125.0,11.0,9.0,20.0,13678.0,8201.0,21879.0,21270.0,9423.0,30693.0,11308.0,9752.0,21060.0,7681.0,6022.0,13703.0,673.0,1294.0,1967.0,43311.0,34592.0,77903.0,11479.0,10595.0,22074.0,360.0,260956.3489,724.8787469,1.0344,34.1977,337.700157024231,MBALE,0.0904307026339929,1.5363506728604754,0.025,3,True,-0.5542645983173358,0.018,False,True,2020
19,BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bugisu,Bukwo District,3.0,0.0,3.0,1299.0,895.0,2194.0,3734.0,1923.0,5657.0,497.0,438.0,935.0,766.0,593.0,1359.0,0.0,0.0,0.0,550.0,547.0,1097.0,1145.0,1035.0,2180.0,255.0,235.0,490.0,289.0,274.0,563.0,4330.0,0.0,0.0,0.0,526.0,529.0,1055.0,1084.0,985.0,2069.0,235.0,211.0,446.0,263.0,252.0,515.0,27.0,52.0,79.0,5533.0,3849.0,9382.0,769.0,593.0,1362.0,525.0,103632.5039,197.3952454,1.2819,34.7299,41.782257853947314,BUKWO,0.7314535599012969,1.0886907534086072,0.076,3,False,-0.7399386778656973,0.077,False,False,2020
20,KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Bugisu,Kapchorwa District,20.0,15.0,35.0,1033.0,875.0,1908.0,2527.0,1923.0,4450.0,525.0,446.0,971.0,425.0,406.0,831.0,9.0,6.0,15.0,891.0,768.0,1659.0,2091.0,1605.0,3696.0,327.0,331.0,658.0,466.0,372.0,838.0,6866.0,9.0,6.0,15.0,868.0,758.0,1626.0,2046.0,1580.0,3626.0,321.0,327.0,648.0,459.0,368.0,827.0,13.0,47.0,60.0,4105.0,3665.0,7770.0,445.0,421.0,866.0,212.0,121424.9705,572.7592948,1.3514,34.3754,56.5452062432249,KAPCHORWA,0.7019620765547865,1.0896554868835413,0.075,3,False,-0.7404924663845984,0.076,False,False,2020
21,BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Teso,Bukedea District,20.0,22.0,42.0,15176.0,7287.0,22463.0,21750.0,7838.0,29588.0,7600.0,5362.0,12962.0,10079.0,8688.0,18767.0,18.0,22.0,40.0,14965.0,7083.0,22048.0,20985.0,7445.0,28430.0,9449.0,8539.0,17988.0,7390.0,5161.0,12551.0,81057.0,18.0,22.0,40.0,15133.0,6969.0,22102.0,20451.0,7287.0,27738.0,9310.0,8427.0,17737.0,7263.0,5064.0,12327.0,942.0,3048.0,3990.0,44546.0,29197.0,73743.0,10099.0,8710.0,18809.0,1032.0,248003.4467,240.3134173,1.3557,34.1087,326.83819954345824,BUKEDEA,0.0276554753304653,0.3820765546553588,0.405,3,False,-0.1437803077355817,0.391,False,False,2020
22,KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,5.0,6.0,11.0,2880.0,2283.0,5163.0,5522.0,3772.0,9294.0,1703.0,1379.0,3082.0,1560.0,1341.0,2901.0,2.0,1.0,3.0,2773.0,2239.0,5012.0,5067.0,3489.0,8556.0,1487.0,1270.0,2757.0,1636.0,1346.0,2982.0,19310.0,2.0,1.0,3.0,2761.0,2208.0,4969.0,4960.0,3457.0,8417.0,1469.0,1254.0,2723.0,1627.0,1323.0,2950.0,32.0,135.0,167.0,10110.0,8781.0,18891.0,1565.0,1347.0,2912.0,1184.0,216280.968,182.6697365,0.6833,0.0,89.28201209086507,KABAROLE,0.413474084653183,1.2480417633757213,0.069,3,False,-0.4843019712202413,0.062,False,False,2020
23,MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Bunyoro,Masindi District,36.0,14.0,50.0,13642.0,9624.0,23266.0,20226.0,13833.0,34059.0,8900.0,7398.0,16298.0,10395.0,9495.0,19890.0,36.0,14.0,50.0,12796.0,9121.0,21917.0,18566.0,12571.0,31137.0,9782.0,8975.0,18757.0,8334.0,7071.0,15405.0,87266.0,36.0,14.0,50.0,12616.0,8947.0,21563.0,18616.0,12809.0,31425.0,9664.0,8903.0,18567.0,8271.0,6901.0,15172.0,310.0,930.0,1240.0,42804.0,40364.0,83168.0,10431.0,9509.0,19940.0,3891.0,321013.779,82.50161373,1.6873,31.7138,271.84502880793787,MASINDI,-0.0061151157308603,0.0059605297307033,0.425,2,False,0.0148742211868018,0.423,False,False,2020
24,KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,9.0,8.0,17.0,8077.0,5964.0,14041.0,10352.0,5746.0,16098.0,3652.0,3054.0,6706.0,4381.0,3502.0,7883.0,7.0,8.0,15.0,7873.0,5855.0,13728.0,10032.0,5600.0,15632.0,4154.0,3357.0,7511.0,3577.0,2988.0,6565.0,43451.0,7.0,7.0,14.0,7632.0,5678.0,13310.0,9473.0,5307.0,14780.0,3896.0,3111.0,7007.0,3378.0,2840.0,6218.0,336.0,764.0,1100.0,22090.0,18274.0,40364.0,4390.0,3510.0,7900.0,677.0,167230.318,247.0167178,0.0,0.0,259.82728801604026,KITAGWENDA,0.0759224996271545,0.4297516233969481,0.383,3,False,-0.2005321896417187,0.396,False,False,2020
25,BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Bukedi,Busia District,50.0,23.0,73.0,36556.0,21989.0,58545.0,57971.0,26175.0,84146.0,22703.0,18017.0,40720.0,33289.0,29059.0,62348.0,48.0,19.0,67.0,35621.0,21470.0,57091.0,55306.0,25389.0,80695.0,32327.0,28281.0,60608.0,22234.0,17729.0,39963.0,238424.0,47.0,171.0,218.0,35420.0,21362.0,56782.0,54432.0,25179.0,79611.0,32073.0,28139.0,60212.0,22109.0,17630.0,39739.0,1095.0,1842.0,2937.0,117280.0,95263.0,212543.0,33339.0,29082.0,62421.0,729.0,374454.5013,513.6550087,0.4045,34.0196,636.7235516524955,BUSIA,-0.2133011847322323,-0.5605363004225176,0.296,4,False,-0.3072668261715389,0.331,False,False,2020
26,KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,South Central,Kalangala District,8.0,9.0,17.0,1758.0,1681.0,3439.0,4628.0,4646.0,9274.0,1103.0,1022.0,2125.0,1454.0,1385.0,2839.0,8.0,9.0,17.0,1698.0,1656.0,3354.0,4442.0,4462.0,8904.0,1337.0,1273.0,2610.0,1052.0,999.0,2051.0,16936.0,8.0,9.0,17.0,1650.0,1613.0,3263.0,4246.0,4295.0,8541.0,1301.0,1230.0,2531.0,1030.0,968.0,1998.0,309.0,343.0,652.0,7497.0,8743.0,16240.0,1462.0,1394.0,2856.0,452.0,65596.37205,145.1247169,0.6351,32.5373,258.185010401044,KALANGALA,0.1772685867555358,1.047263735049334,0.112,3,False,-0.4589292558225524,0.116,False,False,2020
